pos1.x,pos1.y,pos1.z,vel1.x,vel1.y,vel1.z,rot1.x,rot1.y,rot1.z,pos2.x,pos2.y,pos2.z,vel2.x,vel2.y,vel2.z,rot2.x,rot2.y,rot2.z,pos3.x,pos3.y,pos3.z,vel3.x,vel3.y,vel3.z,rot3.x,rot3.y,rot3.z
-0.01095867,1.670423,0.08929566,-0.0309383,-0.0053299,-0.0005729,7.721117,7.721117,7.721117,-0.2708547,0.9838414,0.1253774,-0.3605232,0.9523139,-0.1923105,27.80746,27.80746,27.80746,0.1996542,0.8826092,0.2726917,-0.006585678,0.01536403,0.04130116,28.44923,28.44923,28.44923
-0.0140525,1.66989,0.08923836,-0.0154761,-0.00865,0.0034698,8.276797,8.276797,8.276797,-0.3988749,1.142048,0.06116021,-0.938889,1.387377,-0.467627,16.20469,16.20469,16.20469,0.1929948,0.8897245,0.2790307,-0.07646345,0.09874893,0.09477441,27.23831,27.23831,27.23831
-0.01560012,1.669025,0.08958535,-0.0369046,-0.0421599,0.0207274,9.004145,9.004145,9.004145,-0.5330465,1.453738,-0.0380993,-1.06819,2.451374,-0.860605,335.2532,335.2532,335.2532,0.1712725,0.9212838,0.3155033,-0.1867977,0.2546166,0.3057317,20.26649,20.26649,20.26649
-0.01929059,1.664809,0.09165809,-0.0240316,-0.02895,0.0123207,12.20525,12.20525,12.20525,-0.4143095,1.767675,-0.2313591,0.435424,2.554528,-1.434553,276.2898,276.2898,276.2898,0.1296812,0.9732234,0.3750021,-0.2929506,0.410338,0.4767784,10.90852,10.90852,10.90852
-0.02169375,1.661914,0.09289017,-0.0224332,-0.0244599,0.0085638,13.5753,13.5753,13.5753,-0.177484,1.836645,-0.3481031,1.611961,1.326823,-1.237965,300.4822,300.4822,300.4822,0.07719429,1.022221,0.4142978,-0.3752957,0.4248428,0.4417352,2.965671,2.965671,2.965671
-0.02393708,1.659468,0.09374655,0.0047904,-0.0355399,0.0201795,15.03539,15.03539,15.03539,0.006043403,1.714389,-0.3780731,1.62083,-0.3032154,-0.582971,335.8411,335.8411,335.8411,0.02340422,1.048817,0.4397445,-0.3936984,0.2915716,0.3128685,359.4436,359.4436,359.4436
-0.02345804,1.655914,0.09576451,0.0305482,0.0029299,0.0054811,17.19158,17.19158,17.19158,0.03483519,1.59159,-0.3041092,0.6319093,-0.7407194,0.3682706,0.09212521,0.09212521,0.09212521,-0.009949222,1.074957,0.4536257,-0.3209638,0.2793301,0.139562,357.1558,357.1558,357.1558
-0.02040322,1.656207,0.09631262,0.075332,0.02031,0.0024385,16.16501,16.16501,16.16501,-0.0178269,1.62472,-0.2113389,-0.1581638,0.0742446,0.5704662,5.967423,5.967423,5.967423,-0.02914439,1.093072,0.4552378,-0.2223622,0.1919139,-0.04136149,355.0082,355.0082,355.0082
-0.01287002,1.658238,0.09655648,0.1450783,-0.0095,0.01333,14.98488,14.98488,14.98488,-0.06184592,1.759484,-0.210114,-0.3466532,0.9110281,0.2401667,350.3402,350.3402,350.3402,-0.03719392,1.095526,0.4372635,-0.09467357,0.05803067,-0.2098931,355.8788,355.8788,355.8788
0.001637816,1.657288,0.09788948,0.1661738,-0.02036,-0.0066779,15.86679,15.86679,15.86679,-0.1017787,1.936174,-0.1081337,-0.3713698,1.353346,0.7706339,333.0629,333.0629,333.0629,-0.02766799,1.101305,0.4238263,0.09476885,0.1027121,-0.2407636,354.5534,354.5534,354.5534
0.0182552,1.655252,0.09722169,0.1658807,-0.0748599,-0.0111556,17.04062,17.04062,17.04062,-0.1320904,2.072216,0.08527413,-0.3269054,1.297657,1.549799,296.6265,296.6265,296.6265,0.004905439,1.105442,0.3899942,0.2578494,0.09070706,-0.3264657,353.2424,353.2424,353.2424
0.03484327,1.647766,0.09610612,0.1194017,-0.02267,-0.0423083,21.60206,21.60206,21.60206,-0.08287183,2.041038,0.3800319,0.1849592,0.1936366,2.321434,282.8654,282.8654,282.8654,0.05494352,1.110804,0.3483368,0.405591,0.08830626,-0.4119892,351.0765,351.0765,351.0765
0.04678345,1.645499,0.09187528,0.0236761,-0.007,-0.009509,21.89744,21.89744,21.89744,-0.005565795,1.871646,0.7670757,0.7330937,-1.19062,3.018033,352.6419,352.6419,352.6419,0.1307998,1.103203,0.2991058,0.5384011,-0.02456009,-0.4448122,352.6261,352.6261,352.6261
0.04915106,1.644799,0.09092438,0.0066906,-0.0028899,-0.0024528,22.41556,22.41556,22.41556,-0.02697891,1.548159,0.8092448,-0.0612924,-2.007376,1.116255,9.11193,9.11193,9.11193,0.202384,1.070107,0.2347939,0.4689944,-0.2205549,-0.4627384,359.7801,359.7801,359.7801
0.04982013,1.64451,0.09067909,-0.0010844,0.00454,-0.0012915,22.73881,22.73881,22.73881,0.04796977,1.447993,0.7616252,0.356053,-1.39658,0.2121932,9.438725,9.438725,9.438725,0.2297377,1.054304,0.2012198,0.2291713,-0.1713084,-0.3273505,2.697024,2.697024,2.697024
0.04971168,1.644964,0.09054994,-0.0137464,0.0175499,-6.99e-05,22.5798,22.5798,22.5798,0.03049033,1.478082,0.7511576,0.111317,-0.3246256,0.02807112,8.233517,8.233517,8.233517,0.2290309,1.044281,0.1913085,0.01213174,-0.1534117,-0.07538183,4.180173,4.180173,4.180173
0.04833703,1.646719,0.09054294,-0.0196953,0.0094299,0.0061039,21.35193,21.35193,21.35193,0.0307574,1.508438,0.7424935,0.03397635,0.1740988,-0.03841523,3.250141,3.250141,3.250141,0.2166795,1.02108,0.1950456,-0.09881593,-0.2058598,0.1168452,8.277749,8.277749,8.277749
0.0463675,1.647662,0.09115334,-0.0180066,0.01114,0.0039488,21.05885,21.05885,21.05885,0.02340966,1.518823,0.7378819,-0.002293288,0.09281542,-0.0492177,2.910355,2.910355,2.910355,0.2007245,1.006344,0.2087018,-0.1685278,-0.1376506,0.2380184,8.869794,8.869794,8.869794
0.04456683,1.648776,0.09154823,-0.0171331,0.00923,0.0039202,20.45665,20.45665,20.45665,0.01730322,1.513219,0.7369828,-0.04341301,-0.03616459,-0.02073312,3.146745,3.146745,3.146745,0.1853598,1.002645,0.2287705,-0.1628272,-0.06121701,0.2491767,8.531422,8.531422,8.531422
0.04285352,1.649699,0.09194025,-0.0154305,0.0196799,-0.0022719,19.98407,19.98407,19.98407,0.008723175,1.500261,0.7386326,-0.06505689,-0.1124479,0.008341225,4.216131,4.216131,4.216131,0.1707384,0.9983181,0.2440418,-0.1346962,-0.06003098,0.1857726,8.603502,8.603502,8.603502
0.04131046,1.651667,0.09171306,-0.0186611,0.02518,-0.0043798,18.56701,18.56701,18.56701,-0.001159245,1.490349,0.7388643,-0.09687383,-0.08344657,0.00696577,3.453634,3.453634,3.453634,0.1622682,0.987563,0.2512038,-0.05341063,-0.1021658,0.08695365,9.673834,9.673834,9.673834
0.03944434,1.654185,0.09127507,-0.06626,0.0350999,0.0074127,17.06326,17.06326,17.06326,-0.008923608,1.48329,0.7354097,-0.07374269,-0.05876419,-0.03535612,3.819028,3.819028,3.819028,0.1605694,0.976185,0.2532367,0.01880532,-0.1259021,0.01471668,11.42234,11.42234,11.42234
0.03281834,1.657695,0.09201634,-0.0712589,0.01705,0.0130286,14.90305,14.90305,14.90305,-0.00583622,1.496691,0.7202744,0.004073319,0.1185376,-0.127441,1.327391,1.327391,1.327391,0.1608214,0.9633597,0.2456498,0.04727031,-0.1273998,-0.06755266,13.98008,13.98008,13.98008
0.02569245,1.6594,0.0933192,-0.0659542,0.01133,0.0093586,14.3298,14.3298,14.3298,0.0009513478,1.510798,0.6976478,-0.003335834,0.1114042,-0.2049659,359.467,359.467,359.467,0.1596776,0.9512815,0.2350647,0.03845968,-0.1101032,-0.09362213,16.23418,16.23418,16.23418
