pos1.x,pos1.y,pos1.z,vel1.x,vel1.y,vel1.z,rot1.x,rot1.y,rot1.z,pos2.x,pos2.y,pos2.z,vel2.x,vel2.y,vel2.z,rot2.x,rot2.y,rot2.z,pos3.x,pos3.y,pos3.z,vel3.x,vel3.y,vel3.z,rot3.x,rot3.y,rot3.z
-0.05073656,1.64434,0.08424126,0.0018677,0.00833,-0.0038024,16.2018,16.2018,16.2018,-0.1947809,0.8012086,-0.1044504,0.006369242,-0.0002251512,0.02122449,74.86117,74.86117,74.86117,0.1274734,0.8533844,0.1849039,0.02561564,-0.008142876,-0.05543281,83.54548,83.54548,83.54548
-0.05054979,1.645173,0.08386102,0.0032291,0.00966,-0.0039035,15.53268,15.53268,15.53268,-0.1930187,0.8032129,-0.1029315,0.0169402,0.00383203,0.01815129,75.00705,75.00705,75.00705,0.1347521,0.8487018,0.1995375,0.0572984,-0.01978924,0.1042244,85.0064,85.0064,85.0064
-0.05022687,1.646139,0.08347066,0.0086917,0.00537,0.0018741,15.09675,15.09675,15.09675,-0.1934637,0.8023378,-0.1033637,-0.002987847,-0.002564007,0.01125481,75.08758,75.08758,75.08758,0.07470026,0.8928579,0.2904753,-0.3955976,0.2994118,0.6451494,66.99737,66.99737,66.99737
-0.04935769,1.646676,0.08365808,0.0114743,0.00553,0.0032482,14.79299,14.79299,14.79299,-0.1971325,0.8004505,-0.1030189,-0.01875719,-0.00584011,0.0194186,74.79228,74.79228,74.79228,-0.04360714,1.015693,0.4563279,-0.7728295,0.8263816,1.142985,44.27021,44.27021,44.27021
-0.04821025,1.647229,0.0839829,0.0049525,0.00966,-0.0032371,14.50757,14.50757,14.50757,-0.2010342,0.7993703,-0.0981338,-0.0230858,-0.003034794,0.0463464,74.63178,74.63178,74.63178,-0.1765346,1.178558,0.5303871,-1.001283,1.276052,0.7919,30.26771,30.26771,30.26771
-0.047715,1.648195,0.08365918,-0.0035683,0.0060499,-0.0059372,13.81521,13.81521,13.81521,-0.2052962,0.7993389,-0.08934887,-0.01669383,-0.004718551,0.06077799,74.63142,74.63142,74.63142,-0.2737589,1.341201,0.5407912,-0.9332944,1.482977,0.3517828,14.76151,14.76151,14.76151
-0.04807184,1.6488,0.08306546,-0.0064081,0.0046499,-0.0067844,13.53461,13.53461,13.53461,-0.2076346,0.7980425,-0.08141665,0.001320327,-0.0144725,0.06269546,75.00216,75.00216,75.00216,-0.3390523,1.486744,0.51671,-0.682294,1.353614,-0.03871122,2.309551,2.309551,2.309551
-0.04871265,1.649265,0.08238701,-0.003939,0.0028899,-0.004257,13.26384,13.26384,13.26384,-0.2113395,0.7968889,-0.07164325,-0.01531159,-0.008764603,0.06713583,75.43205,75.43205,75.43205,-0.3651001,1.581747,0.4778819,-0.401815,1.036947,-0.2233584,351.252,351.252,351.252
-0.04910656,1.649554,0.0819613,-0.0045868,0.00814,-0.0082583,13.10176,13.10176,13.10176,-0.2113546,0.7971786,-0.0632283,0.0158414,-0.007346367,0.08705127,75.86062,75.86062,75.86062,-0.3734412,1.614434,0.4481051,-0.2229299,0.5904189,-0.2627866,347.6891,347.6891,347.6891
-0.04956524,1.650368,0.08113546,-0.0048413,0.0048199,-0.006303,12.51917,12.51917,12.51917,-0.2145157,0.797538,-0.05150472,-0.04389072,-0.003810669,0.09754562,76.17214,76.17214,76.17214,-0.3779464,1.60806,0.444915,-0.1217881,0.1394901,-0.09771483,350.5603,350.5603,350.5603
-0.05004938,1.65085,0.08050516,-0.0050365,0.00068,-0.0036302,12.32884,12.32884,12.32884,-0.2213019,0.7998638,-0.04675232,-0.06197286,0.005828639,0.05351347,75.80821,75.80821,75.80821,-0.3780336,1.60591,0.4495189,-0.04353427,8.665328e-05,0.006618121,350.1939,350.1939,350.1939
-0.05055303,1.650918,0.08014214,-0.0036072,0.0035199,-0.0047552,12.31959,12.31959,12.31959,-0.228151,0.8004748,-0.04729976,-0.06876906,0.005978622,0.02096887,75.17067,75.17067,75.17067,-0.378297,1.585695,0.4529749,-0.00257337,-0.1409665,0.03792964,353.071,353.071,353.071
-0.05091375,1.65127,0.07966662,-0.0037954,0.00331,-0.0047979,12.03748,12.03748,12.03748,-0.2338149,0.8012589,-0.04708434,-0.06866246,0.007210375,0.02294425,74.68243,74.68243,74.68243,-0.3685478,1.550594,0.4645149,0.07061992,-0.3367745,0.07106444,353.2697,353.2697,353.2697
-0.0512933,1.651601,0.07918682,-0.0042984,0.0021599,-0.0043507,11.85229,11.85229,11.85229,-0.2363234,0.8013167,-0.04808252,-0.03898289,0.001104534,0.01794353,74.40469,74.40469,74.40469,-0.3412239,1.434709,0.4733559,0.1983379,-0.8614724,0.06423767,356.8943,356.8943,356.8943
-0.05172314,1.651817,0.07875175,-0.000802,0.00062,-0.0009765,11.75327,11.75327,11.75327,-0.2351691,0.8007771,-0.04957556,-0.00801526,-0.007831198,0.01288972,74.40327,74.40327,74.40327,-0.2795991,1.256972,0.4833789,0.4342059,-1.286014,0.0430243,13.01276,13.01276,13.01276
-0.05180335,1.651879,0.07865409,-0.0009489,-0.00056,-0.0002214,11.6936,11.6936,11.6936,-0.2322077,0.7986367,-0.05181074,-0.00286142,-0.01014813,0.008906944,74.50369,74.50369,74.50369,-0.1937817,1.113689,0.4616267,0.6979606,-1.36015,-0.1536395,26.41516,26.41516,26.41516
-0.05189824,1.651823,0.07863194,-0.0030246,-0.00259,-0.0001334,11.77843,11.77843,11.77843,-0.2304349,0.7988684,-0.05346958,0.0005573971,-0.008464369,0.01207859,74.52331,74.52331,74.52331,-0.07906803,0.9840603,0.4095255,0.8972143,-1.204897,-0.3735446,40.93604,40.93604,40.93604
-0.0522007,1.651564,0.0786186,0.0005531,-0.0041899,0.0033595,11.96438,11.96438,11.96438,-0.2296828,0.7987098,-0.05353629,-0.001517709,-0.003500458,0.02421378,74.49157,74.49157,74.49157,0.01038768,0.9140255,0.3404282,0.8954876,-0.9054936,-0.5690729,55.2549,55.2549,55.2549
-0.05214539,1.651145,0.07895456,0.0022578,-0.00276,0.0034432,12.23536,12.23536,12.23536,-0.2271289,0.7986951,-0.05302274,0.009034386,-0.002188246,0.02817031,74.58443,74.58443,74.58443,0.113987,0.8449233,0.2812065,0.9485092,-0.7168607,-0.5174572,72.61732,72.61732,72.61732
-0.05191961,1.650869,0.07929888,-0.0030618,-0.0043999,0.001076,12.38721,12.38721,12.38721,-0.2237732,0.7983575,-0.05426098,0.021003,-0.001796127,0.007250384,74.71914,74.71914,74.71914,0.1933013,0.82107,0.2145712,0.8379265,-0.3705603,-0.5933005,66.68299,66.68299,66.68299
-0.05222579,1.650429,0.07940649,-0.001009,-0.0132099,0.0084011,12.73454,12.73454,12.73454,-0.2207381,0.7978253,-0.05945369,0.02201734,-0.005449031,-0.01753553,74.73581,74.73581,74.73581,0.1929708,0.8341898,0.1795698,0.2171363,-0.02942993,-0.3912303,73.36819,73.36819,73.36819
-0.0523267,1.649108,0.0802466,0.0020254,-0.0231,0.0163906,13.67814,13.67814,13.67814,-0.2179924,0.796933,-0.06437455,0.03150433,-0.007642004,-0.02206098,74.73529,74.73529,74.73529,0.1759057,0.8397647,0.169796,-0.02264624,0.02632067,-0.2134392,80.66457,80.66457,80.66457
-0.05212415,1.646798,0.08188567,-0.0002834,-0.0148199,0.0090139,15.13236,15.13236,15.13236,-0.2114459,0.7957601,-0.07027566,0.05725645,-0.002877613,-0.02250117,75.21014,75.21014,75.21014,0.1671084,0.838666,0.1603705,-0.06320654,-0.003082807,-0.1145055,79.751,79.751,79.751
-0.0521525,1.645316,0.08278706,-0.0047426,-0.01019,0.0031185,15.92743,15.92743,15.92743,-0.2071972,0.7975083,-0.07453057,0.0306776,0.01217679,-0.02324826,75.35596,75.35596,75.35596,0.112738,0.8544409,0.1861907,-0.02820263,0.03863136,-0.0393098,80.62757,80.62757,80.62757
-0.05262676,1.644297,0.08309891,-0.0162915,-0.00923,-0.0050664,16.46094,16.46094,16.46094,-0.2066072,0.7987221,-0.08293982,0.01570658,0.009915459,-0.0486069,75.05797,75.05797,75.05797,0.110485,0.8496128,0.1983848,-0.007672406,-0.0165526,0.06941764,80.27831,80.27831,80.27831
-0.05425592,1.643374,0.08259227,-0.0209103,-0.0030199,-0.0123284,16.85493,16.85493,16.85493,-0.2050674,0.8017979,-0.09269086,0.01738434,0.03178773,-0.05775199,74.86897,74.86897,74.86897,0.1088075,0.8498513,0.1917123,-0.01882256,-0.01222089,-0.03963022,81.1703,81.1703,81.1703
-0.05634695,1.643072,0.08135942,-0.0167997,-0.00068,-0.0114886,16.97982,16.97982,16.97982,-0.2051659,0.8031953,-0.1064544,0.001251924,0.03167931,-0.08663581,74.0072,74.0072,74.0072,0.1065826,0.8467355,0.1970995,-0.02360175,-0.02651644,0.06217961,85.90648,85.90648,85.90648
-0.05802692,1.643004,0.08021055,-0.013381,-0.0015599,-0.0089092,16.98246,16.98246,16.98246,-0.2059406,0.8055876,-0.1201327,0.003844929,0.02714779,-0.09331296,73.56169,73.56169,73.56169,0.06523991,0.863966,0.2784807,-0.323594,0.1321486,0.5917958,75.27905,75.27905,75.27905
-0.05936503,1.642848,0.07931963,-0.0040571,-0.0074499,0.001411,17.14928,17.14928,17.14928,-0.2036446,0.8073493,-0.1347008,0.03546941,0.01816726,-0.0858582,73.02929,73.02929,73.02929,-0.06392289,0.9576661,0.409488,-0.8375921,0.6156771,0.9046412,59.02846,59.02846,59.02846
-0.05977074,1.642103,0.07946074,-0.0014365,-0.00117,-0.0003915,17.64128,17.64128,17.64128,-0.1959492,0.8077742,-0.1472938,0.06572556,0.00255735,-0.08330557,73.13499,73.13499,73.13499,-0.1624866,1.082729,0.4937297,-0.9112805,1.020472,0.8367917,40.02386,40.02386,40.02386
-0.0599144,1.641986,0.07942159,-0.0014365,-0.00117,-0.0003915,17.64651,17.64651,17.64651,-0.1892794,0.8068392,-0.1566404,0.070965,-0.0008891118,-0.08268754,73.4651,73.4651,73.4651,-0.252509,1.226834,0.5368158,-0.8928792,1.321922,0.5504814,27.10718,27.10718,27.10718
