pos1.x,pos1.y,pos1.z,vel1.x,vel1.y,vel1.z,rot1.x,rot1.y,rot1.z,pos2.x,pos2.y,pos2.z,vel2.x,vel2.y,vel2.z,rot2.x,rot2.y,rot2.z,pos3.x,pos3.y,pos3.z,vel3.x,vel3.y,vel3.z,rot3.x,rot3.y,rot3.z
0.04900665,1.644626,0.08509323,-0.0068717,0.01008,-0.0020117,16.01306,16.01306,16.01306,-0.1578437,0.8205917,0.1969713,-0.01073067,0.008997886,-0.01570401,53.0462,53.0462,53.0462,0.2507737,0.8620993,-0.05003312,-0.007595409,-0.01408394,0.004247066,70.75262,70.75262,70.75262
0.04831947,1.645634,0.08489206,0.0105408,-0.00885,-0.0008314,15.41518,15.41518,15.41518,-0.1599508,0.8215008,0.1973033,-0.02799698,0.001439386,-0.003427191,52.90823,52.90823,52.90823,0.2526594,0.8534826,-0.05290705,0.002493321,-0.07186777,-0.04269164,79.63818,79.63818,79.63818
0.04937356,1.644749,0.08480892,0.0321807,-0.02104,-0.0072954,16.33989,16.33989,16.33989,-0.1620085,0.8214199,0.1955804,-0.02815184,0.005549324,-0.0220591,52.97032,52.97032,52.97032,0.249793,0.8520256,-0.06082053,-0.02303416,-0.01021213,-0.07692646,84.95531,84.95531,84.95531
0.05259163,1.642645,0.08407938,0.0090309,-0.0027199,-0.0041738,17.70494,17.70494,17.70494,-0.161495,0.8197669,0.1943548,-0.0006910368,-0.001370479,-0.01952523,52.995,52.995,52.995,0.3555626,0.9442847,-0.06108329,0.7464164,0.7084628,-0.01357534,63.22608,63.22608,63.22608
0.05349472,1.642373,0.08366199,-0.0010763,-0.00122,0.0013774,17.54458,17.54458,17.54458,-0.1570061,0.8223777,0.1958454,0.01593224,0.01729788,0.01971824,52.80204,52.80204,52.80204,0.4984199,1.24785,-0.1206561,0.9513279,2.098645,-0.3353943,356.6421,356.6421,356.6421
0.05338709,1.642251,0.08379974,0.0019175,-0.0028199,0.0003606,17.55345,17.55345,17.55345,-0.1547767,0.8269937,0.2079372,0.02601538,0.03877517,0.05289847,52.04602,52.04602,52.04602,0.3882751,1.628872,-0.1751176,-0.3957993,2.83047,-0.4663496,295.7047,295.7047,295.7047
0.05357884,1.641969,0.0838358,0.001586,-0.0006799,-0.0006359,17.71699,17.71699,17.71699,-0.1512891,0.830076,0.2131862,0.04480169,0.0306337,0.02707444,51.23843,51.23843,51.23843,0.2973174,1.787429,-0.2306373,-0.6021651,1.889905,-0.4761375,297.7191,297.7191,297.7191
0.05373745,1.641901,0.0837722,-0.0030882,0.0046799,-0.0006543,17.79665,17.79665,17.79665,-0.1466966,0.8322638,0.2195439,0.06135229,0.01063919,0.01347563,50.78413,50.78413,50.78413,0.2351531,1.856026,-0.1382303,-0.5888705,1.084805,0.4827998,293.0265,293.0265,293.0265
0.05342862,1.642369,0.08370676,-0.0125455,0.00506,0.0050175,17.30243,17.30243,17.30243,-0.143134,0.8308422,0.2177507,0.05858398,-0.005622748,-0.03387631,51.4862,51.4862,51.4862,0.1864797,1.832416,0.01683868,-0.4797806,0.228716,1.179548,289.5838,289.5838,289.5838
0.05217407,1.642875,0.08420852,-0.0165056,0.0012499,0.0093046,17.17312,17.17312,17.17312,-0.1399933,0.8299432,0.2208496,0.0481617,-0.003375728,0.02465927,52.27818,52.27818,52.27818,0.1825298,1.767017,0.09667922,-0.09201285,-0.2499973,0.7100481,312.9555,312.9555,312.9555
0.05052351,1.643,0.08513898,-0.0276475,0.00558,0.0126998,17.05523,17.05523,17.05523,-0.1338855,0.8302367,0.2279544,0.04912525,0.006650972,0.0690795,52.19215,52.19215,52.19215,0.2907035,1.873963,-0.06188748,0.7267769,0.6058815,-0.8670563,289.5056,289.5056,289.5056
0.04775876,1.643558,0.08640896,0.0136718,0.0056999,-0.0109587,16.6461,16.6461,16.6461,-0.1356019,0.8322906,0.2364791,-0.01198105,0.01538407,0.07497523,50.79665,50.79665,50.79665,0.5226351,1.812953,-0.2985862,1.502405,-0.3406756,-1.584127,354.3594,354.3594,354.3594
0.04912594,1.644128,0.08531309,0.0099188,0.0084499,-0.0107419,16.18191,16.18191,16.18191,-0.1377845,0.8325937,0.2428061,-0.01018115,0.02069527,0.08698794,50.0533,50.0533,50.0533,0.4691943,1.702389,-0.3334675,-0.003600091,-0.6500984,-0.671361,357.527,357.527,357.527
0.05011782,1.644973,0.08423889,-0.0022624,-0.0047299,0.0041227,15.85388,15.85388,15.85388,-0.1354921,0.8380995,0.2487643,0.003295912,0.0468194,0.06382963,48.37815,48.37815,48.37815,0.3240263,1.803406,-0.144205,-0.8533647,0.4026827,0.9818376,299.6451,299.6451,299.6451
0.04989157,1.6445,0.08465116,0.0037792,-0.00168,-0.0012575,16.31886,16.31886,16.31886,-0.1401134,0.8353121,0.2430442,-0.0242979,-0.008173174,-0.05000135,49.41135,49.41135,49.41135,0.2084926,1.745288,0.06810053,-0.8319108,-0.3156107,1.473748,324.3302,324.3302,324.3302
0.0502695,1.644332,0.08452541,-0.0043212,-0.0047299,0.0052901,16.32359,16.32359,16.32359,-0.1465476,0.8332572,0.2364449,-0.05253037,-0.0299734,-0.05122908,50.05762,50.05762,50.05762,0.2137948,1.72573,0.03442695,-0.2255635,-0.1803885,0.2584121,326.1569,326.1569,326.1569
0.04983738,1.643859,0.08505442,-0.0128466,0.0068899,0.0034418,16.65029,16.65029,16.65029,-0.1550242,0.8301408,0.2340725,-0.05379763,-0.02805844,-0.02949223,50.94075,50.94075,50.94075,0.3364042,1.824774,-0.1419913,0.77448,0.4921962,-0.9932715,305.2187,305.2187,305.2187
0.04855272,1.644548,0.08539861,-0.0015607,-0.0060399,0.0043535,15.98354,15.98354,15.98354,-0.1545271,0.8303519,0.2322867,-0.01209183,0.006270827,-0.01105245,51.08948,51.08948,51.08948,0.5320241,1.747973,-0.3054885,1.332667,-0.4088203,-1.199116,349.7801,349.7801,349.7801
0.04839665,1.643944,0.08583397,0.0056134,-0.00399,-0.0009176,16.74548,16.74548,16.74548,-0.1510298,0.8313644,0.232311,0.01446572,0.004162155,0.003934517,50.91109,50.91109,50.91109,0.5217794,1.63692,-0.3278796,0.3404877,-0.8222003,-0.4971331,350.9155,350.9155,350.9155
0.04895799,1.643545,0.0857422,0.0032196,-0.0028099,-0.0002566,16.84754,16.84754,16.84754,-0.1447702,0.8320016,0.2351106,0.04292287,0.03043606,0.02778647,50.05895,50.05895,50.05895,0.4941693,1.549872,-0.2111874,-0.04754719,-0.8784636,0.5966314,310.64,310.64,310.64
0.04927995,1.643264,0.08571654,0.0013967,-0.0038,0.0013271,16.98465,16.98465,16.98465,-0.143987,0.8318768,0.2385426,0.0128778,0.01462466,0.001511006,49.49081,49.49081,49.49081,0.4757923,1.327908,-0.09946732,-0.1389194,-1.767011,0.8393992,346.897,346.897,346.897
0.04941963,1.642884,0.08584925,0.0106794,-0.0046799,-0.0036283,17.39754,17.39754,17.39754,-0.1464662,0.8310179,0.237973,-0.00480112,-0.002400952,-0.02622453,49.60221,49.60221,49.60221,0.3445861,1.025524,-0.06150692,-0.7894343,-2.292814,0.3861433,42.4338,42.4338,42.4338
0.05048757,1.642416,0.08548642,-0.0019049,-0.00595,0.0043915,17.52764,17.52764,17.52764,-0.1499129,0.8261754,0.2351114,-0.01838225,-0.02352289,-0.0383309,50.40202,50.40202,50.40202,0.2529768,0.8023448,-0.1326361,-0.8810859,-2.027485,-0.2815163,80.22513,80.22513,80.22513
0.05029708,1.641821,0.08592557,-0.0033327,-0.0033799,0.0037752,17.87935,17.87935,17.87935,-0.1536176,0.8262137,0.2330543,-0.02566421,-0.02371066,-0.02441375,51.41739,51.41739,51.41739,0.1418871,0.7541032,-0.2358597,-1.062547,-0.8670138,-0.7270806,38.81691,38.81691,38.81691
