HeadPos.x,HeadPos.y,HeadPos.z,HeadVel.x,HeadVel.y,HeadVel.z,HeadRot.x,HeadRot.y,HeadRot.z,LeftPos.x,LeftPos.y,LeftPos.z,LeftVel.x,LeftVel.y,LeftVel.z,LeftRot.x,LeftRot.y,LeftRot.z,RightPos.x,RightPos.y,RightPos.z,RightVel.x,RightVel.y,RightVel.z,RightRot.x,RightRot.y,RightRot.z
-0.1616926,1.50463,-0.3057034,0.004392047,-0.006502202,0.00992668,5.069794,5.069794,5.069794,-0.3920993,0.6837979,-0.2823951,-7.492684e-06,-0.007391004,-0.03424418,73.14717,73.14717,73.14717,-0.01293099,0.6912107,-0.2693995,0.01087639,0.01890896,-0.01712899,62.32246,62.32246,62.32246
-0.1611649,1.50466,-0.3039614,0.006291286,0.001054679,0.01189747,5.048882,5.048882,5.048882,-0.3868071,0.6830771,-0.2873115,0.05477875,-0.01651252,-0.04743803,74.65269,74.65269,74.65269,-0.005904001,0.689816,-0.2691138,0.07206678,-0.007775842,0.00848715,63.23209,63.23209,63.23209
-0.1607601,1.504238,-0.3029608,0.00578894,-0.005749216,0.007728906,5.37721,5.37721,5.37721,-0.3759937,0.690421,-0.2775099,0.0661379,0.04952967,0.1187302,75.00228,75.00228,75.00228,-0.005022613,0.6900874,-0.2705678,-0.003839194,0.009631511,-0.008743526,65.24863,65.24863,65.24863
-0.1602709,1.504047,-0.302596,0.005184018,-0.002144321,0.00269846,5.543309,5.543309,5.543309,-0.3935319,0.7089062,-0.2029589,-0.12234,0.1665419,0.5726913,69.70496,69.70496,69.70496,-0.01211601,0.6891598,-0.2661525,-0.06206792,0.001570162,0.0498552,65.2544,65.2544,65.2544
-0.1607325,1.502854,-0.30366,-0.005182047,-0.01551829,-0.007672749,6.224664,6.224664,6.224664,-0.4184756,0.7632948,-0.07426368,-0.1749839,0.4326586,0.9748676,56.75499,56.75499,56.75499,-0.02083778,0.6970327,-0.2396756,-0.07209183,0.1027839,0.2754583,64.97404,64.97404,64.97404
-0.161399,1.502745,-0.3066961,-0.008558515,-0.008848558,-0.02665503,6.620995,6.620995,6.620995,-0.4332235,0.8827803,0.07450333,-0.1384591,0.9501829,1.252574,36.19474,36.19474,36.19474,-0.01063368,0.7427933,-0.09867724,0.05948398,0.3456975,1.008554,55.05083,55.05083,55.05083
-0.1629828,1.503158,-0.3108753,-0.01327835,-0.001514481,-0.03675413,6.894497,6.894497,6.894497,-0.4241171,1.087413,0.1873049,0.01277793,1.541253,1.043382,14.96284,14.96284,14.96284,0.007733593,0.887857,0.1104846,0.1323393,1.077042,1.630548,30.62715,30.62715,30.62715
-0.1645961,1.503967,-0.3142303,-0.01505624,0.004314364,-0.03556865,6.829946,6.829946,6.829946,-0.3994546,1.263193,0.2126225,0.16479,1.651161,0.5207455,1.778352,1.778352,1.778352,-0.001651087,1.155271,0.2485745,-0.01918253,1.91284,1.257324,3.150961,3.150961,3.150961
-0.1664779,1.504232,-0.3180266,-0.01239151,0.00407993,-0.03927569,6.830533,6.830533,6.830533,-0.377861,1.404522,0.196758,0.1746063,1.356557,0.07560996,346.2299,346.2299,346.2299,-0.02518829,1.370619,0.2541077,-0.159502,1.918714,0.4352436,344.2858,344.2858,344.2858
-0.167434,1.503976,-0.3221328,-0.007201983,-0.002143718,-0.04017501,6.986865,6.986865,6.986865,-0.3635645,1.474192,0.1677105,0.157905,0.8641473,-0.1476806,338.8882,338.8882,338.8882,-0.04363845,1.450433,0.2216921,-0.1680091,1.203015,-0.02070813,339.1585,339.1585,339.1585
-0.1661395,1.503354,-0.3264916,0.01348448,-0.007640703,-0.04251952,7.031734,7.031734,7.031734,-0.3546405,1.48625,0.1480878,0.09203828,0.3814534,-0.1577224,336.1817,336.1817,336.1817,-0.06404308,1.467903,0.2072027,-0.197452,0.4948339,-0.09055504,335.9209,335.9209,335.9209
-0.1648228,1.50249,-0.3308848,0.01263239,-0.007037923,-0.04023705,7.257117,7.257117,7.257117,-0.3492939,1.475219,0.1432974,0.06120315,0.0008220081,-0.05506384,337.0929,337.0929,337.0929,-0.06953001,1.44663,0.2112804,-0.09659665,-0.01235742,-0.0006073608,338.4967,338.4967,338.4967
-0.1642811,1.503457,-0.3341641,0.003253206,0.01085145,-0.02803346,6.841679,6.841679,6.841679,-0.35,1.46426,0.1453964,0.009989117,-0.0703833,-0.01529612,338.1465,338.1465,338.1465,-0.06448701,1.410459,0.2186119,0.0400949,-0.296004,0.05916983,342.4536,342.4536,342.4536
-0.1632707,1.503952,-0.3357456,0.007489617,0.00670244,-0.01519868,6.744666,6.744666,6.744666,-0.3527901,1.451039,0.1456881,-0.01828026,-0.1424225,0.00292669,339.2719,339.2719,339.2719,-0.05176036,1.318354,0.2272225,0.07120791,-0.6722835,0.05515497,350.4382,350.4382,350.4382
-0.1611991,1.502814,-0.3376947,0.01616003,-0.01123948,-0.01696363,7.141527,7.141527,7.141527,-0.3630916,1.398593,0.1492957,-0.07281926,-0.4457507,0.03310817,343.2558,343.2558,343.2558,-0.04009503,1.190711,0.2182646,0.09639713,-1.015015,-0.06214601,358.1472,358.1472,358.1472
-0.1580836,1.502437,-0.3399248,0.02566014,-0.003513889,-0.0190801,6.989698,6.989698,6.989698,-0.3840476,1.260927,0.1546,-0.1416851,-0.9516243,0.02439265,355.4475,355.4475,355.4475,-0.01701048,1.036738,0.1787075,0.1856609,-1.312125,-0.3001197,8.217527,8.217527,8.217527
-0.1550783,1.503271,-0.3404783,0.02929923,0.007731431,-0.006430968,6.465496,6.465496,6.465496,-0.3969627,1.117192,0.1328055,-0.1157258,-1.25712,-0.1512504,8.427303,8.427303,8.427303,0.004038378,0.8738119,0.0923565,0.1612347,-1.326289,-0.6358167,25.46788,25.46788,25.46788
-0.1522514,1.504172,-0.3374833,0.02970013,0.003702218,0.02058191,6.28512,6.28512,6.28512,-0.3983624,0.948707,0.06657024,-0.05232951,-1.38736,-0.4547704,25.20164,25.20164,25.20164,0.006845562,0.7767184,-0.0164784,0.07692529,-1.097076,-0.9171295,36.39829,36.39829,36.39829
-0.1520062,1.50438,-0.3324236,0.007479231,0.002583713,0.04048213,6.192596,6.192596,6.192596,-0.4025881,0.8185475,-0.03297443,-0.05116321,-1.219422,-0.749535,40.59615,40.59615,40.59615,-0.003391375,0.7165424,-0.1308696,-0.04262084,-0.7202465,-1.00068,48.56706,48.56706,48.56706
-0.153481,1.503948,-0.3276183,-0.01129569,-0.004218824,0.04106452,6.203732,6.203732,6.203732,-0.4227429,0.7228537,-0.1409622,-0.152701,-0.9520631,-0.8953654,49.21113,49.21113,49.21113,-0.02929936,0.6842897,-0.2249846,-0.2112329,-0.4646454,-0.9498872,57.46493,57.46493,57.46493
-0.1553808,1.506261,-0.3212032,-0.01154519,0.02953473,0.04815739,4.870159,4.870159,4.870159,-0.4491299,0.6801409,-0.2500193,-0.1862168,-0.5420328,-0.9704719,64.4828,64.4828,64.4828,-0.02948743,0.690639,-0.2643456,-0.04420146,-0.1368304,-0.5917975,57.55936,57.55936,57.55936
-0.1589956,1.506495,-0.3158614,-0.03350128,0.008648062,0.04722047,4.648153,4.648153,4.648153,-0.4138462,0.6697602,-0.3409546,0.1767208,-0.2286391,-0.8294248,72.38274,72.38274,72.38274,-0.02418732,0.690837,-0.2839116,0.04468191,-0.04077586,-0.3078054,59.49343,59.49343,59.49343
