HeadPos.x,HeadPos.y,HeadPos.z,HeadVel.x,HeadVel.y,HeadVel.z,HeadRot.x,HeadRot.y,HeadRot.z,LeftPos.x,LeftPos.y,LeftPos.z,LeftVel.x,LeftVel.y,LeftVel.z,LeftRot.x,LeftRot.y,LeftRot.z,RightPos.x,RightPos.y,RightPos.z,RightVel.x,RightVel.y,RightVel.z,RightRot.x,RightRot.y,RightRot.z
-0.5611785,1.507032,-0.4955786,-0.002355761,-0.005814005,-0.01452797,4.207459,4.207459,4.207459,-0.8139087,0.6877501,-0.549301,0.0,0.0,0.0,67.37831,67.37831,67.37831,-0.3161965,0.7066259,-0.4225417,0.0,0.0,0.0,57.14088,57.14088,57.14088
-0.5597994,1.506682,-0.4977239,0.009433825,-0.005333534,-0.02084734,4.347053,4.347053,4.347053,-0.8142357,0.6872824,-0.5574846,0.0,0.0,0.0,68.02929,68.02929,68.02929,-0.310001,0.7122144,-0.4057831,0.0,0.0,0.0,48.37986,48.37986,48.37986
-0.5597238,1.50739,-0.4998768,-0.003916969,0.006783199,-0.0177978,4.106226,4.106226,4.106226,-0.8156922,0.6879932,-0.5604912,0.0,0.0,0.0,67.65179,67.65179,67.65179,-0.2662933,0.7632073,-0.3559709,0.0374409,0.1937464,-0.004231228,6.610604,6.610604,6.610604
-0.5627117,1.508338,-0.502326,-0.03366073,0.008001067,-0.01513238,4.26193,4.26193,4.26193,-0.8149091,0.6889491,-0.5615176,0.0,0.0,0.0,64.88599,64.88599,64.88599,-0.1361098,1.178979,-0.2985145,0.6808329,2.546105,0.001861137,310.2531,310.2531,310.2531
-0.5680171,1.507995,-0.5034978,-0.05157416,-0.01645499,-0.005359437,4.835549,4.835549,4.835549,-0.8250875,0.6947189,-0.5633268,0.0,0.0,0.0,57.15633,57.15633,57.15633,-0.09348909,1.38071,-0.4431026,0.3521559,1.875779,-1.058421,293.8393,293.8393,293.8393
-0.5732522,1.508192,-0.5009615,-0.05542868,-0.02009549,0.03310234,5.747159,5.747159,5.747159,-0.8517897,0.7092714,-0.5685616,0.0,0.0,0.0,64.91209,64.91209,64.91209,-0.1249253,1.45933,-0.5975055,-0.2022197,1.047127,-1.472525,312.166,312.166,312.166
-0.5775827,1.505645,-0.4964452,-0.0481107,-0.03544601,0.05033399,7.787559,7.787559,7.787559,-0.8723614,0.7083853,-0.6131624,0.0,0.0,0.0,73.78853,73.78853,73.78853,-0.1859592,1.492748,-0.719487,-0.4814684,0.4343711,-1.151632,327.8391,327.8391,327.8391
-0.5767137,1.50621,-0.4901961,-0.00127623,0.004633188,0.06048007,8.91742,8.91742,8.91742,-0.8658561,0.7006251,-0.6587632,0.0,0.0,0.0,67.48925,67.48925,67.48925,-0.2376505,1.493358,-0.8153112,-0.4529356,0.1337099,-0.8502151,355.7759,355.7759,355.7759
-0.571015,1.51175,-0.4813043,0.03548681,0.06035425,0.08304362,8.208458,8.208458,8.208458,-0.8487174,0.699708,-0.6951242,0.0,0.0,0.0,47.93464,47.93464,47.93464,-0.2616534,1.520547,-0.8133526,-0.2472347,0.3264427,-0.1225709,1.98144,1.98144,1.98144
-0.5693118,1.519759,-0.4737569,-0.008158529,0.1167333,0.07765857,5.227706,5.227706,5.227706,-0.8295807,0.7117104,-0.7187078,0.0,0.0,0.0,19.9162,19.9162,19.9162,-0.2591638,1.60569,-0.7703789,-0.00472202,0.761858,0.3320876,355.7286,355.7286,355.7286
