HeadPos.x,HeadPos.y,HeadPos.z,HeadVel.x,HeadVel.y,HeadVel.z,HeadRot.x,HeadRot.y,HeadRot.z,LeftPos.x,LeftPos.y,LeftPos.z,LeftVel.x,LeftVel.y,LeftVel.z,LeftRot.x,LeftRot.y,LeftRot.z,RightPos.x,RightPos.y,RightPos.z,RightVel.x,RightVel.y,RightVel.z,RightRot.x,RightRot.y,RightRot.z
-0.06552966,1.599854,-0.3834711,0.003801776,-0.004736786,-0.0001721848,13.65911,13.65911,13.65911,-0.3327222,0.7532758,-0.4547568,-0.00388106,-0.004967046,-0.002917831,82.96266,82.96266,82.96266,0.1031019,0.7564997,-0.3645342,-0.006773816,0.008941941,0.004058868,76.25823,76.25823,76.25823
-0.06297781,1.601337,-0.3860868,0.02542753,0.01340458,-0.02865778,12.98178,12.98178,12.98178,-0.3334752,0.7600434,-0.4442635,-0.02894533,0.03070916,0.1111853,79.77905,79.77905,79.77905,0.1037252,0.7584832,-0.3622674,0.01369147,0.002629023,0.02530185,74.88068,74.88068,74.88068
-0.05852148,1.603561,-0.3914442,0.0420884,0.02092586,-0.05414788,12.00633,12.00633,12.00633,-0.3470584,0.8077941,-0.3366665,-0.09391472,0.3450675,0.7499055,62.22953,62.22953,62.22953,0.1045271,0.7599133,-0.3609908,0.009328976,0.002529473,0.02281705,73.55627,73.55627,73.55627
-0.05692718,1.604373,-0.3967531,0.01477136,0.008990476,-0.05260247,11.62879,11.62879,11.62879,-0.354464,0.9511001,-0.1472746,-0.05910614,1.109364,1.431925,33.61564,33.61564,33.61564,0.1076541,0.7616091,-0.3566593,0.01091085,0.02262024,0.03892436,72.46645,72.46645,72.46645
-0.0587776,1.604429,-0.4025051,-0.02312653,0.005554172,-0.04922285,11.7333,11.7333,11.7333,-0.3638383,1.216242,0.007702007,-0.08350455,2.072099,1.409568,356.4523,356.4523,356.4523,0.1115043,0.7618377,-0.3502346,0.03139295,0.03974045,0.09143147,70.50269,70.50269,70.50269
-0.0615908,1.604499,-0.4086784,-0.03005599,0.00584109,-0.04760496,11.83213,11.83213,11.83213,-0.3852274,1.495043,0.02509318,-0.1325009,2.259874,0.5332122,326.7391,326.7391,326.7391,0.1170671,0.7879403,-0.2781472,0.03490636,0.2298451,0.5466259,58.9956,58.9956,58.9956
-0.06339662,1.60653,-0.4128502,-0.01908522,0.02365602,-0.03595221,11.16111,11.16111,11.16111,-0.3131104,1.627257,-0.02143756,0.4451932,1.536755,-0.06131486,315.0307,315.0307,315.0307,0.1082047,0.8728144,-0.133635,-0.06795564,0.6825316,1.093833,38.66372,38.66372,38.66372
-0.06835049,1.607744,-0.4143308,-0.04524354,0.01575878,-0.01785596,10.64087,10.64087,10.64087,-0.1565664,1.665297,-0.07017726,1.099701,0.7055361,-0.3078462,306.5339,306.5339,306.5339,0.08479005,1.050144,0.01639071,-0.1676044,1.308482,1.200722,11.14962,11.14962,11.14962
-0.07724846,1.608189,-0.4142082,-0.0904082,0.01174403,0.0008729121,10.54845,10.54845,10.54845,-0.0002235862,1.616901,-0.1127666,1.390305,-0.06062764,-0.4007761,315.7006,315.7006,315.7006,0.05087536,1.265584,0.089474,-0.2425022,1.697682,0.8041992,346.8835,346.8835,346.8835
-0.0862103,1.60737,-0.41463,-0.0834801,0.002986519,0.0003123015,10.74456,10.74456,10.74456,0.09207971,1.507124,-0.1606848,0.9722061,-0.6756902,-0.4297689,336.9165,336.9165,336.9165,0.02218239,1.453896,0.1020779,-0.240924,1.685467,0.3174877,329.4402,329.4402,329.4402
-0.08773476,1.606911,-0.4159674,-0.01514509,-0.001076248,-0.009348487,10.77551,10.77551,10.77551,0.04262993,1.522529,-0.1451527,-0.05061124,-0.009881154,0.01202172,329.3037,329.3037,329.3037,-0.01740942,1.586082,0.06443372,-0.3441635,1.281352,-0.1303914,318.5152,318.5152,318.5152
