pos1.x,pos1.y,pos1.z,vel1.x,vel1.y,vel1.z,rot1.x,rot1.y,rot1.z,pos2.x,pos2.y,pos2.z,vel2.x,vel2.y,vel2.z,rot2.x,rot2.y,rot2.z,pos3.x,pos3.y,pos3.z,vel3.x,vel3.y,vel3.z,rot3.x,rot3.y,rot3.z
-0.00146063,1.659918,0.01338388,0.0146907,0.0006799,-0.0003204,6.752487,6.752487,6.752487,-0.1942808,0.7769094,0.06157485,0.03376139,-0.002705818,-0.006990941,60.99698,60.99698,60.99698,0.1433961,1.077379,0.2937691,-0.01579049,-0.001367714,0.005503737,356.1884,356.1884,356.1884
8.445233e-06,1.659986,0.01335184,0.016795,-0.00488,0.0034536,6.628568,6.628568,6.628568,-0.1828009,0.7834297,0.07217748,0.09789506,0.04408073,0.1137417,62.61255,62.61255,62.61255,0.1422622,1.07926,0.2948579,-0.004199352,0.02234008,0.004355499,356.2086,356.2086,356.2086
0.001687955,1.659498,0.01369721,0.0113696,-0.0079399,0.0054501,7.248217,7.248217,7.248217,-0.1633945,0.7913517,0.1253038,0.1675821,0.09620225,0.4490119,62.18383,62.18383,62.18383,0.1413649,1.091408,0.2944498,0.01798671,0.1058396,-0.007832514,354.3649,354.3649,354.3649
0.002824921,1.658704,0.01424222,0.0039371,-0.0026799,0.0017773,7.628148,7.628148,7.628148,-0.1164882,0.8524095,0.2685462,0.3257958,0.4084232,0.9344608,51.46217,51.46217,51.46217,0.1438006,1.101065,0.299661,0.02566888,0.07462106,0.01461889,353.6317,353.6317,353.6317
0.003218641,1.658436,0.01441995,0.011517,-0.00757,0.0048587,7.749087,7.749087,7.749087,-0.04111516,0.964291,0.3971773,0.5256358,0.7919703,1.019638,36.68883,36.68883,36.68883,0.1335122,1.097036,0.3002934,-0.1005998,-0.02341249,0.02593926,354.2274,354.2274,354.2274
0.004370343,1.657679,0.01490583,0.0189894,-0.0181299,0.0112768,8.398195,8.398195,8.398195,0.010398,1.076991,0.4807442,0.5031866,1.002618,0.8840312,25.62697,25.62697,25.62697,0.1205733,1.100365,0.3052192,-0.1968723,0.02748662,0.04944197,353.5392,353.5392,353.5392
0.006269287,1.655866,0.01603352,0.0212204,-0.01743,0.0097616,10.02497,10.02497,10.02497,0.05922238,1.19287,0.5356697,0.4721349,1.071074,0.6566381,15.55629,15.55629,15.55629,0.1126506,1.112848,0.310147,-0.1495546,0.08562275,0.04507675,351.9857,351.9857,351.9857
0.008391331,1.654123,0.01700968,0.0126189,-0.01011,0.0052115,10.70645,10.70645,10.70645,0.08944735,1.285136,0.5521494,0.3575568,0.9983379,0.3691451,9.053809,9.053809,9.053809,0.1141801,1.12229,0.3194127,-0.05217668,0.06966323,0.0579824,351.0731,351.0731,351.0731
0.009653229,1.653112,0.01753083,0.0059936,-0.0119999,0.0067762,11.29966,11.29966,11.29966,0.1038926,1.370934,0.5650172,0.2133075,0.9055964,0.2456194,2.795021,2.795021,2.795021,0.1223643,1.133354,0.3269317,0.08460902,0.09886695,0.03407115,349.3036,349.3036,349.3036
0.01025259,1.651912,0.01820845,0.0002025,-0.0026999,0.0016176,12.02463,12.02463,12.02463,0.1129695,1.449592,0.570343,0.1276312,0.7698562,0.143174,357.4109,357.4109,357.4109,0.1347549,1.13387,0.3337944,0.1991172,0.04291216,0.04639794,348.2999,348.2999,348.2999
