pos1.x,pos1.y,pos1.z,vel1.x,vel1.y,vel1.z,rot1.x,rot1.y,rot1.z,pos2.x,pos2.y,pos2.z,vel2.x,vel2.y,vel2.z,rot2.x,rot2.y,rot2.z,pos3.x,pos3.y,pos3.z,vel3.x,vel3.y,vel3.z,rot3.x,rot3.y,rot3.z
-0.002552621,1.681213,0.08126497,-0.0039927,-0.0052,0.0045811,0.4583956,0.4583956,0.4583956,-0.2127652,0.7904174,0.1139127,0.04888601,-0.01027623,-0.01858987,63.43721,63.43721,63.43721,0.1996542,0.8826092,0.2726917,-0.006585678,0.01536403,0.04130116,28.44923,28.44923,28.44923
-0.002951894,1.680693,0.08172309,-0.0172404,-0.0147,0.0122152,1.164494,1.164494,1.164494,-0.2146176,0.7812268,0.1078569,-0.03829874,-0.1062119,-0.1055637,64.86369,64.86369,64.86369,0.1929948,0.8897245,0.2790307,-0.07646345,0.09874893,0.09477441,27.23831,27.23831,27.23831
-0.004675936,1.679223,0.08294461,-0.0702248,-0.01236,0.0037123,2.309302,2.309302,2.309302,-0.2261826,0.7860469,0.101653,-0.09228843,0.1192285,-0.07998316,59.71977,59.71977,59.71977,0.1712725,0.9212838,0.3155033,-0.1867977,0.2546166,0.3057317,20.26649,20.26649,20.26649
-0.01169842,1.677987,0.08331585,-0.095376,-0.0287799,0.0051248,3.0847,3.0847,3.0847,-0.2864026,0.8924916,0.06153261,-0.4358765,0.7130203,-0.3517193,30.28989,30.28989,30.28989,0.1296812,0.9732234,0.3750021,-0.2929506,0.410338,0.4767784,10.90852,10.90852,10.90852
-0.02123603,1.675109,0.08382833,-0.0999867,-0.0468899,0.0054318,5.442211,5.442211,5.442211,-0.3788994,1.062917,-0.07037642,-0.6935887,1.225191,-0.9504316,8.838998,8.838998,8.838998,0.07719429,1.022221,0.4142978,-0.3752957,0.4248428,0.4417352,2.965671,2.965671,2.965671
-0.0312347,1.67042,0.08437152,-0.1000855,-0.05444,-0.0038922,8.980499,8.980499,8.980499,-0.4102939,1.261768,-0.2043793,-0.3443337,1.654172,-1.196177,346.7892,346.7892,346.7892,0.02340422,1.048817,0.4397445,-0.3936984,0.2915716,0.3128685,359.4436,359.4436,359.4436
-0.04124326,1.664976,0.0839823,-0.0651095,-0.0419799,-0.0066368,12.21159,12.21159,12.21159,-0.2857894,1.482017,-0.2728553,0.6760131,1.922519,-0.914198,322.1853,322.1853,322.1853,-0.009949222,1.074957,0.4536257,-0.3209638,0.2793301,0.139562,357.1558,357.1558,357.1558
-0.04775421,1.660778,0.08331861,-0.0491037,-0.0348199,-0.0079163,14.431,14.431,14.431,-0.1569427,1.589913,-0.3170519,1.109664,1.467893,-0.6469083,310.2648,310.2648,310.2648,-0.02914439,1.093072,0.4552378,-0.2223622,0.1919139,-0.04136149,355.0082,355.0082,355.0082
-0.05266458,1.657296,0.08252698,-0.0314163,-0.01337,-0.0127167,16.20434,16.20434,16.20434,-0.04245456,1.667349,-0.3316388,1.132576,1.014643,-0.3106884,301.7006,301.7006,301.7006,-0.03719392,1.095526,0.4372635,-0.09467357,0.05803067,-0.2098931,355.8788,355.8788,355.8788
-0.05580622,1.655959,0.0812553,0.0615078,0.0228399,0.0254594,16.54871,16.54871,16.54871,0.03137134,1.697806,-0.3009903,0.9315911,0.5826608,0.07029811,314.9156,314.9156,314.9156,-0.02766799,1.101305,0.4238263,0.09476885,0.1027121,-0.2407636,354.5534,354.5534,354.5534
