pos1.x,pos1.y,pos1.z,vel1.x,vel1.y,vel1.z,rot1.x,rot1.y,rot1.z,pos2.x,pos2.y,pos2.z,vel2.x,vel2.y,vel2.z,rot2.x,rot2.y,rot2.z,pos3.x,pos3.y,pos3.z,vel3.x,vel3.y,vel3.z,rot3.x,rot3.y,rot3.z
-0.004168265,1.668323,0.09131242,0.0017478,0.0136,-0.0091884,8.900846,8.900846,8.900846,-0.1965407,0.7753465,0.05134796,0.0983984,0.07560019,0.02805897,73.64643,73.64643,73.64643,0.2332411,0.7625081,0.09279885,0.0114425,0.003790863,-0.01750089,55.24239,55.24239,55.24239
-0.003993478,1.669683,0.09039357,-0.0010323,-0.0080999,0.0055096,7.932155,7.932155,7.932155,-0.2602574,0.9177864,0.2271566,-0.4784107,0.9093903,1.118609,38.91577,38.91577,38.91577,0.2326768,0.7555341,0.09676024,0.0156305,-0.003349583,-0.02095486,55.40346,55.40346,55.40346
-0.004096709,1.668873,0.09094454,-0.0129475,-0.01422,0.0088335,9.095187,9.095187,9.095187,-0.5056853,1.243042,0.429561,-1.597028,2.326117,1.516272,355.5107,355.5107,355.5107,0.2272235,0.7600769,0.1031502,0.008436923,0.005943667,-0.008215513,55.90694,55.90694,55.90694
-0.00539146,1.667451,0.0918279,0.0039731,0.0024299,-0.0013769,9.886678,9.886678,9.886678,-0.578373,1.73484,0.3503871,-0.8134646,3.529644,-0.03721692,316.3411,316.3411,316.3411,0.2243608,0.7600212,0.1123298,0.04215287,0.01908368,0.01808609,55.71286,55.71286,55.71286
-0.004994147,1.667694,0.09169021,0.0010953,0.0088099,-0.0058273,9.34806,9.34806,9.34806,-0.361585,1.903119,0.2447872,1.016118,2.213323,-0.6125662,284.5903,284.5903,284.5903,0.2290813,0.7654563,0.1180623,0.08601127,-0.01922513,-0.006512301,55.80484,55.80484,55.80484
-0.004884611,1.668575,0.09110747,-0.0025226,0.00361,-0.0025836,8.631155,8.631155,8.631155,-0.104719,1.861272,0.2415507,1.86829,0.4722102,-0.1763045,299.2723,299.2723,299.2723,0.2372331,0.7638956,0.1195611,0.03453358,-0.02740188,-0.002089861,56.01414,56.01414,56.01414
-0.005136871,1.668936,0.0908491,-0.0104634,0.01718,-0.0125999,8.644588,8.644588,8.644588,0.0357725,1.696904,0.2737509,1.456545,-0.8355903,0.133108,330.4899,330.4899,330.4899,0.238515,0.7694577,0.1196429,-0.05267573,-0.02542705,0.01673173,55.47806,55.47806,55.47806
-0.006183219,1.670654,0.0895891,-0.0021567,0.0091899,-0.0067475,6.94991,6.94991,6.94991,-0.02411837,1.714684,0.2639952,0.1478947,-0.002283916,-0.02667275,323.607,323.607,323.607,0.2375152,0.7621714,0.1222137,-0.09377389,-0.03043221,0.0517356,55.12997,55.12997,55.12997
-0.00639889,1.671573,0.08891435,0.0216642,0.0061899,-0.0032168,6.838816,6.838816,6.838816,-0.1869026,1.89431,0.2430882,-0.9871624,0.987267,-0.1224459,278.6431,278.6431,278.6431,0.2380185,0.7644771,0.1269521,-0.04195802,0.01637425,0.07206444,53.81844,53.81844,53.81844
-0.004232469,1.672192,0.08859266,0.0036261,0.00515,-0.0036458,6.454852,6.454852,6.454852,-0.3424181,1.917879,0.2257949,-1.246187,0.4532732,-0.1106572,296.4895,296.4895,296.4895,0.2523392,0.7653431,0.1297374,0.09584943,-0.001344275,0.04713918,53.35849,53.35849,53.35849
-0.00386985,1.672707,0.08822807,-0.0103844,0.00608,-0.005074,6.116078,6.116078,6.116078,-0.2510094,1.865533,0.2600464,0.3523459,-0.198113,0.2338256,283.822,283.822,283.822,0.2655912,0.7648658,0.1317485,0.1196214,-0.01881845,0.03106219,53.39108,53.39108,53.39108
-0.004908293,1.673315,0.08772067,-0.0116293,-0.00379,0.0021221,5.820957,5.820957,5.820957,-0.03279452,1.697259,0.3163377,1.263055,-1.129486,0.3572542,336.945,336.945,336.945,0.2668786,0.7647027,0.1323787,0.07431792,-0.03668252,0.01161097,52.88793,52.88793,52.88793
-0.006071232,1.672936,0.08793288,-0.0063688,0.00261,-0.0024176,6.119886,6.119886,6.119886,-0.05125739,1.686843,0.2924045,0.1988927,-0.2898164,-0.06630944,332.6729,332.6729,332.6729,0.2548208,0.7540643,0.1224349,0.02053743,-0.109395,-0.05525466,54.01965,54.01965,54.01965
-0.006708115,1.673197,0.08769112,0.0226037,-0.0066,0.0063636,5.926807,5.926807,5.926807,-0.1871415,1.891697,0.2307012,-0.7951566,1.058736,-0.3976991,282.6212,282.6212,282.6212,0.2433798,0.7434677,0.1114527,-0.005918359,-0.1018937,-0.06927897,55.55589,55.55589,55.55589
