pos1.x,pos1.y,pos1.z,vel1.x,vel1.y,vel1.z,rot1.x,rot1.y,rot1.z,pos2.x,pos2.y,pos2.z,vel2.x,vel2.y,vel2.z,rot2.x,rot2.y,rot2.z,pos3.x,pos3.y,pos3.z,vel3.x,vel3.y,vel3.z,rot3.x,rot3.y,rot3.z
-0.06573986,1.657066,0.06270067,-0.0087341,-0.0092199,-0.0001671,8.807823,8.807823,8.807823,-0.1962986,0.809715,-0.09839132,-0.008572212,-0.006493572,0.01906558,76.47732,76.47732,76.47732,0.1274734,0.8533844,0.1849039,0.02561564,-0.008142876,-0.05543281,83.54548,83.54548,83.54548
-0.06661328,1.656144,0.06268395,0.0065703,-0.00563,0.0122951,9.336233,9.336233,9.336233,-0.1911166,0.8077763,-0.1029546,-0.003342506,-0.003309457,0.01246162,76.41038,76.41038,76.41038,0.1347521,0.8487018,0.1995375,0.0572984,-0.01978924,0.1042244,85.0064,85.0064,85.0064
-0.06595624,1.655581,0.06391346,0.0193345,-0.02159,0.0385959,9.613817,9.613817,9.613817,-0.1875302,0.8068584,-0.1043258,0.0006769676,-0.01202325,0.0186337,76.63094,76.63094,76.63094,0.07470026,0.8928579,0.2904753,-0.3955976,0.2994118,0.6451494,66.99737,66.99737,66.99737
-0.06402279,1.653422,0.06777306,0.023418,-0.0093299,0.0290716,11.28107,11.28107,11.28107,-0.1891919,0.8062934,-0.09737008,-0.0009647656,-0.01353296,0.04273986,76.28543,76.28543,76.28543,-0.04360714,1.015693,0.4563279,-0.7728295,0.8263816,1.142985,44.27021,44.27021,44.27021
-0.06168098,1.652489,0.07068022,0.0186658,0.0087199,0.0088462,11.47334,11.47334,11.47334,-0.1870967,0.8058241,-0.09118363,0.004483014,-0.006375684,0.05928289,76.37896,76.37896,76.37896,-0.1765346,1.178558,0.5303871,-1.001283,1.276052,0.7919,30.26771,30.26771,30.26771
-0.0598144,1.653361,0.07156484,0.0153719,0.0164799,-0.0009524,10.56041,10.56041,10.56041,-0.1882055,0.8061669,-0.0840362,-0.01884299,0.0008670439,0.0646589,76.13336,76.13336,76.13336,-0.2737589,1.341201,0.5407912,-0.9332944,1.482977,0.3517828,14.76151,14.76151,14.76151
-0.0582772,1.655009,0.0714696,0.0131699,0.00682,0.0048419,9.482511,9.482511,9.482511,-0.1910604,0.8064327,-0.07758313,-0.004677468,-0.004648826,0.04217287,76.10577,76.10577,76.10577,-0.3390523,1.486744,0.51671,-0.682294,1.353614,-0.03871122,2.309551,2.309551,2.309551
-0.05696021,1.655691,0.07195379,0.0066544,0.0035499,0.0022334,9.249939,9.249939,9.249939,-0.1922926,0.8049944,-0.07537139,-0.004500769,-0.01445984,0.01221582,76.62879,76.62879,76.62879,-0.3651001,1.581747,0.4778819,-0.401815,1.036947,-0.2233584,351.252,351.252,351.252
-0.05629476,1.656046,0.07217713,-0.001051,2e-05,-0.0008393,9.037611,9.037611,9.037611,-0.193809,0.8049715,-0.07292274,-0.01574758,-0.009047965,0.009325744,76.29842,76.29842,76.29842,-0.3734412,1.614434,0.4481051,-0.2229299,0.5904189,-0.2627866,347.6891,347.6891,347.6891
-0.05639987,1.656048,0.0720932,-0.0022145,-0.0065,0.0037328,9.084132,9.084132,9.084132,-0.1954872,0.8044262,-0.07107991,-0.01315237,-0.001948052,0.01251707,76.33342,76.33342,76.33342,-0.3779464,1.60806,0.444915,-0.1217881,0.1394901,-0.09771483,350.5603,350.5603,350.5603
