HeadPos.x,HeadPos.y,HeadPos.z,HeadVel.x,HeadVel.y,HeadVel.z,HeadRot.x,HeadRot.y,HeadRot.z,LeftPos.x,LeftPos.y,LeftPos.z,LeftVel.x,LeftVel.y,LeftVel.z,LeftRot.x,LeftRot.y,LeftRot.z,RightPos.x,RightPos.y,RightPos.z,RightVel.x,RightVel.y,RightVel.z,RightRot.x,RightRot.y,RightRot.z
-0.1567377,1.498763,-0.2965352,-0.02527796,0.01355832,0.001519411,4.865982,4.865982,4.865982,-0.4060387,0.6801159,-0.2458667,-0.05279852,-0.02610059,-0.121258,70.05715,70.05715,70.05715,-0.01293099,0.6912107,-0.2693995,0.01087639,0.01890896,-0.01712899,62.32246,62.32246,62.32246
-0.1583478,1.499769,-0.2965116,-0.02207969,0.01407338,0.004206358,4.334104,4.334104,4.334104,-0.4110396,0.6828,-0.2617711,-0.06383663,-0.02161771,-0.1510749,71.81351,71.81351,71.81351,-0.005904001,0.689816,-0.2691138,0.07206678,-0.007775842,0.00848715,63.23209,63.23209,63.23209
-0.160285,1.500634,-0.2963804,-0.02290533,0.00933126,0.005010379,3.920234,3.920234,3.920234,-0.4183272,0.6823149,-0.2763113,-0.05736075,-0.008315017,-0.1220391,73.16086,73.16086,73.16086,-0.005022613,0.6900874,-0.2705678,-0.003839194,0.009631511,-0.008743526,65.24863,65.24863,65.24863
-0.1614544,1.500064,-0.2974776,-0.01357088,-0.005256698,-0.01101488,4.375753,4.375753,4.375753,-0.4222017,0.6816188,-0.2821141,-0.02917904,0.005335501,-0.06204532,73.51406,73.51406,73.51406,-0.01211601,0.6891598,-0.2661525,-0.06206792,0.001570162,0.0498552,65.2544,65.2544,65.2544
-0.1632695,1.498973,-0.3000061,-0.01398049,-0.01160046,-0.02677132,4.986285,4.986285,4.986285,-0.4239655,0.679495,-0.2791985,-0.00518417,0.005023839,0.02342295,73.40201,73.40201,73.40201,-0.02083778,0.6970327,-0.2396756,-0.07209183,0.1027839,0.2754583,64.97404,64.97404,64.97404
-0.1649895,1.498392,-0.3046294,-0.01128221,-0.009595802,-0.04343632,5.502338,5.502338,5.502338,-0.4214126,0.6844985,-0.2681841,0.01508662,0.03649293,0.09362946,71.89224,71.89224,71.89224,-0.01063368,0.7427933,-0.09867724,0.05948398,0.3456975,1.008554,55.05083,55.05083,55.05083
-0.1659081,1.498949,-0.3086417,-0.00493704,0.001403069,-0.04398052,5.522396,5.522396,5.522396,-0.4213923,0.6875996,-0.2554104,0.01099796,0.04308211,0.1112969,69.84196,69.84196,69.84196,0.007733593,0.887857,0.1104846,0.1323393,1.077042,1.630548,30.62715,30.62715,30.62715
-0.1679808,1.500064,-0.31146,-0.01775179,0.007882671,-0.02540469,5.512449,5.512449,5.512449,-0.4197702,0.6923951,-0.2476539,0.00605893,0.02875597,0.06173785,68.70069,68.70069,68.70069,-0.001651087,1.155271,0.2485745,-0.01918253,1.91284,1.257324,3.150961,3.150961,3.150961
-0.1706637,1.501493,-0.312159,-0.02713276,0.01524731,-0.00249138,5.012697,5.012697,5.012697,-0.418709,0.6938375,-0.2504699,0.005933641,0.00506333,-0.0334444,68.37915,68.37915,68.37915,-0.02518829,1.370619,0.2541077,-0.159502,1.918714,0.4352436,344.2858,344.2858,344.2858
-0.1727795,1.501684,-0.3122655,-0.02216343,0.001232587,0.001592135,5.040343,5.040343,5.040343,-0.4218788,0.6913955,-0.2637665,-0.03010227,-0.02775986,-0.1144593,69.52168,69.52168,69.52168,-0.04363845,1.450433,0.2216921,-0.1680091,1.203015,-0.02070813,339.1585,339.1585,339.1585
