HeadPos.x,HeadPos.y,HeadPos.z,HeadVel.x,HeadVel.y,HeadVel.z,HeadRot.x,HeadRot.y,HeadRot.z,LeftPos.x,LeftPos.y,LeftPos.z,LeftVel.x,LeftVel.y,LeftVel.z,LeftRot.x,LeftRot.y,LeftRot.z,RightPos.x,RightPos.y,RightPos.z,RightVel.x,RightVel.y,RightVel.z,RightRot.x,RightRot.y,RightRot.z
-0.5847502,1.459498,-0.5013966,0.01056063,-0.005938642,0.002014692,29.00942,29.00942,29.00942,-0.8054212,0.6562519,-0.6458878,0.0,0.0,0.0,82.62788,82.62788,82.62788,-0.3161965,0.7066259,-0.4225417,0.0,0.0,0.0,57.14088,57.14088,57.14088
-0.5834221,1.460306,-0.5006606,0.009379154,0.001467573,0.006831679,29.23267,29.23267,29.23267,-0.8054292,0.6562482,-0.6458734,0.0,0.0,0.0,82.47832,82.47832,82.47832,-0.310001,0.7122144,-0.4057831,0.0,0.0,0.0,48.37986,48.37986,48.37986
-0.5818538,1.461079,-0.4984532,0.01138076,0.00573204,0.02034135,29.43283,29.43283,29.43283,-0.8054606,0.6562682,-0.6457565,0.0,0.0,0.0,84.27744,84.27744,84.27744,-0.2662933,0.7632073,-0.3559709,0.0374409,0.1937464,-0.004231228,6.610604,6.610604,6.610604
-0.5800781,1.461357,-0.494056,0.006157569,0.003140776,0.04418703,29.53845,29.53845,29.53845,-0.8055298,0.6562858,-0.6456202,0.0,0.0,0.0,85.33932,85.33932,85.33932,-0.1361098,1.178979,-0.2985145,0.6808329,2.546105,0.001861137,310.2531,310.2531,310.2531
-0.5765272,1.460532,-0.4866766,0.02411261,-0.01608652,0.07115638,29.97616,29.97616,29.97616,-0.8055965,0.6562593,-0.6455729,0.0,0.0,0.0,81.12084,81.12084,81.12084,-0.09348909,1.38071,-0.4431026,0.3521559,1.875779,-1.058421,293.8393,293.8393,293.8393
-0.5683701,1.458574,-0.473933,0.07095759,-0.03319834,0.1118321,30.32287,30.32287,30.32287,-0.8060434,0.6562036,-0.6453684,0.0,0.0,0.0,77.56627,77.56627,77.56627,-0.1249253,1.45933,-0.5975055,-0.2022197,1.047127,-1.472525,312.166,312.166,312.166
-0.55931,1.456969,-0.4601727,0.08065371,-0.01971946,0.1188533,30.53992,30.53992,30.53992,-0.8066084,0.6560805,-0.6456184,0.0,0.0,0.0,63.95271,63.95271,63.95271,-0.1859592,1.492748,-0.719487,-0.4814684,0.4343711,-1.151632,327.8391,327.8391,327.8391
-0.55269,1.456731,-0.4502148,0.05313148,-0.0004797339,0.08852196,31.08614,31.08614,31.08614,-0.8069826,0.6561825,-0.6460903,0.0,0.0,0.0,54.85568,54.85568,54.85568,-0.2376505,1.493358,-0.8153112,-0.4529356,0.1337099,-0.8502151,355.7759,355.7759,355.7759
-0.5480381,1.461087,-0.4465208,0.02869293,0.05509198,0.05157588,30.37115,30.37115,30.37115,-0.8071476,0.6564226,-0.6463105,0.0,0.0,0.0,47.69808,47.69808,47.69808,-0.2616534,1.520547,-0.8133526,-0.2472347,0.3264427,-0.1225709,1.98144,1.98144,1.98144
-0.5453761,1.464792,-0.4432434,0.001000744,0.04998778,0.04094836,28.65712,28.65712,28.65712,-0.8072084,0.6570269,-0.6465597,0.0,0.0,0.0,12.78006,12.78006,12.78006,-0.2591638,1.60569,-0.7703789,-0.00472202,0.761858,0.3320876,355.7286,355.7286,355.7286
