HeadPos.x,HeadPos.y,HeadPos.z,HeadVel.x,HeadVel.y,HeadVel.z,HeadRot.x,HeadRot.y,HeadRot.z,LeftPos.x,LeftPos.y,LeftPos.z,LeftVel.x,LeftVel.y,LeftVel.z,LeftRot.x,LeftRot.y,LeftRot.z,RightPos.x,RightPos.y,RightPos.z,RightVel.x,RightVel.y,RightVel.z,RightRot.x,RightRot.y,RightRot.z
-0.6917399,1.517856,-0.4761257,0.004759551,-0.01307125,-0.01395031,359.5491,359.5491,359.5491,-0.8884146,0.7308517,-0.3559759,0,0,0,57.89279,57.89279,57.89279,-0.3161965,0.7066259,-0.4225417,0.0,0.0,0.0,57.14088,57.14088,57.14088
-0.6925548,1.517059,-0.4778927,-0.001791198,-0.01288899,-0.01790052,359.882,359.882,359.882,-0.8883777,0.730834,-0.3560002,0,0,0,59.18926,59.18926,59.18926,-0.310001,0.7122144,-0.4057831,0.0,0.0,0.0,48.37986,48.37986,48.37986
-0.6944996,1.516139,-0.480094,-0.01249383,-0.01237895,-0.02439158,0.3291971,0.3291971,0.3291971,-0.8883466,0.7308151,-0.356025,0,0,0,59.32485,59.32485,59.32485,-0.2662933,0.7632073,-0.3559709,0.0374409,0.1937464,-0.004231228,6.610604,6.610604,6.610604
-0.6972188,1.515852,-0.4811423,-0.02207915,-0.006095598,-0.01434929,0.7832605,0.7832605,0.7832605,-0.8883064,0.7308044,-0.3560522,0,0,0,58.96776,58.96776,58.96776,-0.1361098,1.178979,-0.2985145,0.6808329,2.546105,0.001861137,310.2531,310.2531,310.2531
-0.6996027,1.513869,-0.4808522,-0.01946558,-0.02116325,0.002975677,2.108752,2.108752,2.108752,-0.8882701,0.7308038,-0.3560742,0,0,0,58.3031,58.3031,58.3031,-0.09348909,1.38071,-0.4431026,0.3521559,1.875779,-1.058421,293.8393,293.8393,293.8393
-0.7010775,1.513349,-0.4794971,-0.01299705,-0.01358651,0.01441291,3.358242,3.358242,3.358242,-0.8882182,0.730778,-0.3561254,0,0,0,60.13525,60.13525,60.13525,-0.1249253,1.45933,-0.5975055,-0.2022197,1.047127,-1.472525,312.166,312.166,312.166
-0.702691,1.512022,-0.4774429,-0.01408725,-0.03070379,0.0213489,5.323237,5.323237,5.323237,-0.8881822,0.7307476,-0.3561749,0,0,0,61.71757,61.71757,61.71757,-0.1859592,1.492748,-0.719487,-0.4814684,0.4343711,-1.151632,327.8391,327.8391,327.8391
-0.7081137,1.512931,-0.4727185,-0.04065096,-0.006148904,0.04191187,6.075309,6.075309,6.075309,-0.888149,0.7307203,-0.356226,0,0,0,62.39827,62.39827,62.39827,-0.2376505,1.493358,-0.8153112,-0.4529356,0.1337099,-0.8502151,355.7759,355.7759,355.7759
-0.7140282,1.509322,-0.4690731,-0.03544412,-0.0606399,0.02513252,7.53766,7.53766,7.53766,-0.8881166,0.7307199,-0.3562585,0,0,0,62.83886,62.83886,62.83886,-0.2616534,1.520547,-0.8133526,-0.2472347,0.3264427,-0.1225709,1.98144,1.98144,1.98144
-0.7187259,1.508238,-0.467454,-0.02310081,-0.02876933,0.004097287,7.066288,7.066288,7.066288,-0.8880571,0.7306847,-0.3563647,0,0,0,65.15681,65.15681,65.15681,-0.2591638,1.60569,-0.7703789,-0.00472202,0.761858,0.3320876,355.7286,355.7286,355.7286
-0.7196927,1.50513,-0.4715035,0.00917583,-0.04426885,-0.05197018,7.873743,7.873743,7.873743,-0.8880177,0.7307342,-0.356366,0,0,0,62.79035,62.79035,62.79035,-0.2464561,1.76026,-0.6509485,0.08191625,1.297283,0.9882638,332.5265,332.5265,332.5265
-0.7183087,1.506929,-0.4782268,0.02235116,0.01008296,-0.07497338,7.05418,7.05418,7.05418,-0.8879812,0.7307701,-0.3563838,0,0,0,60.22639,60.22639,60.22639,-0.2583248,1.895449,-0.3810873,-0.0640388,1.065984,2.081556,284.8102,284.8102,284.8102
-0.7136782,1.507741,-0.4865923,0.04553795,0.005425764,-0.08467696,7.155064,7.155064,7.155064,-0.8879656,0.7308435,-0.3563413,0,0,0,55.62964,55.62964,55.62964,-0.2869286,1.766056,-0.01622112,-0.1900195,-0.8543896,2.81917,333.8985,333.8985,333.8985
-0.7069009,1.507468,-0.496289,0.06364048,-0.00655906,-0.09405776,7.429518,7.429518,7.429518,-0.887987,0.7308738,-0.3562894,0,0,0,54.77979,54.77979,54.77979,-0.3138922,1.359101,0.1600396,-0.1753977,-2.780372,1.684916,5.150175,5.150175,5.150175
-0.7002918,1.507575,-0.505526,0.06322429,-6.123674e-05,-0.0913579,7.454877,7.454877,7.454877,-0.8880746,0.7308571,-0.3561991,0,0,0,56.15151,56.15151,56.15151,-0.3218928,0.9330608,0.08297602,-0.06490347,-3.441869,-0.1043825,31.92806,31.92806,31.92806
-0.692879,1.507942,-0.5143227,0.06364695,0.004535151,-0.07905418,7.534203,7.534203,7.534203,-0.8881907,0.7308223,-0.3561179,0,0,0,57.59811,57.59811,57.59811,-0.27641,0.6614328,-0.1995852,0.2640876,-2.54498,-1.764451,70.99339,70.99339,70.99339
-0.6867825,1.506681,-0.5206088,0.05405528,-0.01460971,-0.0595808,8.113453,8.113453,8.113453,-0.8882911,0.7308007,-0.3560633,0,0,0,59.89259,59.89259,59.89259,-0.2720542,0.6486812,-0.4060277,0.1282859,-0.9950871,-1.933808,72.24843,72.24843,72.24843
-0.6850754,1.504783,-0.524457,0.0201195,-0.01545864,-0.04168348,8.745182,8.745182,8.745182,-0.8883973,0.730806,-0.3560062,0,0,0,61.6232,61.6232,61.6232,-0.2507035,0.6822735,-0.5288037,0.2176597,-0.1364517,-1.339492,74.73621,74.73621,74.73621
-0.6860614,1.504344,-0.5262066,-0.009014417,0.002650129,-0.01830442,8.66075,8.66075,8.66075,-0.8884094,0.730812,-0.3559979,0,0,0,62.65826,62.65826,62.65826,-0.254099,0.70039,-0.5991231,0.0140983,0.07424775,-0.8109899,73.17115,73.17115,73.17115
