HeadPos.x,HeadPos.y,HeadPos.z,HeadVel.x,HeadVel.y,HeadVel.z,HeadRot.x,HeadRot.y,HeadRot.z,LeftPos.x,LeftPos.y,LeftPos.z,LeftVel.x,LeftVel.y,LeftVel.z,LeftRot.x,LeftRot.y,LeftRot.z,RightPos.x,RightPos.y,RightPos.z,RightVel.x,RightVel.y,RightVel.z,RightRot.x,RightRot.y,RightRot.z
-0.0103636,1.660829,0.0003215824,0.0030074,0,0,6.104949,6.104949,6.104949,-0.2534405,0.8324748,-0.08181956,-0.02481979,-0.02583031,-0.2324818,71.10431,71.10431,71.10431,0.1002929,0.8821875,0.1658413,0.04135899,-0.01716281,0.05551581,26.64815,26.64815,26.64815
-0.01006286,1.660732,0.0004331977,0.0024762,0,0,6.192722,6.192722,6.192722,-0.2504688,0.8315564,-0.09920838,0.0295029,-0.006822277,-0.1643712,71.1783,71.1783,71.1783,0.09579465,0.8870761,0.1703441,-0.04398806,0.02462722,0.03434373,26.31409,26.31409,26.31409
-0.009815238,1.660567,0.0005875009,0.0038922,0,0,6.365578,6.365578,6.365578,-0.2462569,0.831152,-0.08900246,0.0,0.0,0.0,72.34348,72.34348,72.34348,0.08720117,0.899407,0.1747261,-0.06570005,0.07764477,0.01861219,24.94202,24.94202,24.94202
-0.009426009,1.659816,0.001190841,0.0005662,0,0,6.941769,6.941769,6.941769,-0.2495929,0.8312282,-0.085852,0.0,0.0,0.0,66.74725,66.74725,66.74725,0.07998101,0.9127629,0.1811543,-0.03805467,0.1034371,0.01625321,22.92523,22.92523,22.92523
-0.009369384,1.659647,0.001321188,-0.0028607,0,0,6.835374,6.835374,6.835374,-0.2486581,0.8319959,-0.0828694,0.0,0.0,0.0,66.83286,66.83286,66.83286,0.07727531,0.9214629,0.1875711,0.03229635,0.06253528,0.008705139,21.57751,21.57751,21.57751
-0.009655457,1.660096,0.0009573894,-0.0060156,0,0,6.531066,6.531066,6.531066,-0.2074515,0.9585661,0.3077402,0.171289,0.906578,1.277104,34.82663,34.82663,34.82663,0.08087434,0.9201608,0.1896376,0.05181193,-0.01324457,0.01079267,22.2296,22.2296,22.2296
-0.01025702,1.659282,0.001479007,-0.0073502,0,0,7.298601,7.298601,7.298601,-0.1691288,1.17274,0.4397052,0.3443031,1.709377,1.164817,7.003715,7.003715,7.003715,0.08431152,0.9183487,0.1919118,-0.006866818,0.01233252,0.064945,22.83749,22.83749,22.83749
-0.01099205,1.658403,0.002014469,-0.0100569,0,0,7.810194,7.810194,7.810194,-0.09080324,1.424175,0.4834728,0.6683046,2.112821,0.408198,342.7441,342.7441,342.7441,0.08579528,0.9268432,0.2007121,-0.05440334,0.07191408,0.1287728,21.42343,21.42343,21.42343
-0.01199774,1.658381,0.00188846,-0.0049178,0,0,7.678204,7.678204,7.678204,-0.04819445,1.621078,0.4261933,0.4196544,1.810384,-0.3710375,327.8749,327.8749,327.8749,0.086303,0.9356946,0.2117624,-0.05095587,0.0754832,0.1091859,19.80132,19.80132,19.80132
-0.01248952,1.658255,0.001905503,0.0116402,0,0,7.715193,7.715193,7.715193,-0.0802515,1.755847,0.3567961,-0.1981769,1.268282,-0.5384703,313.2334,313.2334,313.2334,0.0895003,0.9471644,0.219446,0.0210362,0.0984826,0.0759149,17.76229,17.76229,17.76229
