HeadPos.x,HeadPos.y,HeadPos.z,HeadVel.x,HeadVel.y,HeadVel.z,HeadRot.x,HeadRot.y,HeadRot.z,LeftPos.x,LeftPos.y,LeftPos.z,LeftVel.x,LeftVel.y,LeftVel.z,LeftRot.x,LeftRot.y,LeftRot.z,RightPos.x,RightPos.y,RightPos.z,RightVel.x,RightVel.y,RightVel.z,RightRot.x,RightRot.y,RightRot.z
0.01046199,1.664077,-0.00198938,0.0019091,0,0,3.978763,3.978763,3.978763,-0.1312951,0.9087279,0.09768172,0,0,0,42.89047,42.89047,42.89047,0.1002929,0.8821875,0.1658413,0.04135899,-0.01716281,0.05551581,26.64815,26.64815,26.64815
0.0106529,1.66416,-0.002077673,0.0033596,0,0,4.027713,4.027713,4.027713,-0.1314614,0.9089485,0.09784824,0,0,0,43.51697,43.51697,43.51697,0.09579465,0.8870761,0.1703441,-0.04398806,0.02462722,0.03434373,26.31409,26.31409,26.31409
0.01098887,1.66399,-0.001979066,0.0071538,0,0,4.223044,4.223044,4.223044,-0.1313294,0.9089568,0.09768303,0,0,0,43.69437,43.69437,43.69437,0.08720117,0.899407,0.1747261,-0.06570005,0.07764477,0.01861219,24.94202,24.94202,24.94202
0.01170426,1.664152,-0.002197388,0.0098706,0,0,4.002581,4.002581,4.002581,-0.1310771,0.9085481,0.09750905,0,0,0,43.88538,43.88538,43.88538,0.07998101,0.9127629,0.1811543,-0.03805467,0.1034371,0.01625321,22.92523,22.92523,22.92523
0.01269132,1.664069,-0.002260053,0.0100673,0,0,4.069562,4.069562,4.069562,-0.1309654,0.90833,0.09743012,0,0,0,43.24742,43.24742,43.24742,0.07727531,0.9214629,0.1875711,0.03229635,0.06253528,0.008705139,21.57751,21.57751,21.57751
0.01369806,1.664424,-0.002696229,-0.0012334,0,0,3.737422,3.737422,3.737422,-0.1306208,0.9076384,0.09720673,0,0,0,42.20578,42.20578,42.20578,0.08087434,0.9201608,0.1896376,0.05181193,-0.01324457,0.01079267,22.2296,22.2296,22.2296
0.01357471,1.664592,-0.002815747,0.0038424,0,0,3.663506,3.663506,3.663506,-0.1304777,0.9073852,0.09710639,0,0,0,42.06496,42.06496,42.06496,0.08431152,0.9183487,0.1919118,-0.006866818,0.01233252,0.064945,22.83749,22.83749,22.83749
0.01395896,1.664212,-0.002561968,0.0147283,0,0,4.109934,4.109934,4.109934,-0.1306034,0.9074351,0.09722589,0,0,0,41.92562,41.92562,41.92562,0.08579528,0.9268432,0.2007121,-0.05440334,0.07191408,0.1287728,21.42343,21.42343,21.42343
0.01543179,1.664246,-0.002828164,0.0078386,0,0,3.793287,3.793287,3.793287,-0.1303239,0.9064777,0.09715225,0,0,0,42.71573,42.71573,42.71573,0.086303,0.9356946,0.2117624,-0.05095587,0.0754832,0.1091859,19.80132,19.80132,19.80132
0.01621566,1.665094,-0.003671586,-0.0107957,0,0,3.007096,3.007096,3.007096,-0.1299462,0.9061253,0.0967434,0,0,0,42.66471,42.66471,42.66471,0.0895003,0.9471644,0.219446,0.0210362,0.0984826,0.0759149,17.76229,17.76229,17.76229
0.01513609,1.667358,-0.005433382,-0.0124369,0,0,1.334537,1.334537,1.334537,-0.1300039,0.9072772,0.09643454,0,0,0,43.49182,43.49182,43.49182,0.09126817,0.9529546,0.221388,0.08847518,0.01320021,0.01379306,16.70091,16.70091,16.70091
0.0138924,1.668313,-0.00608168,-0.0065969,0,0,0.9591733,0.9591733,0.9591733,-0.1302742,0.908178,0.09651598,0,0,0,44.10845,44.10845,44.10845,0.08893268,0.9437912,0.2147367,0.07526365,-0.06801635,-0.0323315,17.56367,17.56367,17.56367
0.0132327,1.668545,-0.006189554,0.012608,0,0,0.94962,0.94962,0.94962,-0.1307983,0.9089748,0.09694204,0,0,0,44.04912,44.04912,44.04912,0.08784688,0.938629,0.2069095,0.04353492,-0.06654744,-0.04870777,19.92038,19.92038,19.92038
0.01449351,1.668686,-0.006518795,0.007661,0,0,0.8029588,0.8029588,0.8029588,-0.1307254,0.9088877,0.09680677,0,0,0,43.72797,43.72797,43.72797,0.08175205,0.9349011,0.2050859,-0.09749163,-0.01240709,0.00298838,20.44313,20.44313,20.44313
0.01525961,1.669266,-0.007186146,-0.0059509,0,0,0.2788258,0.2788258,0.2788258,-0.1299584,0.9088212,0.09562514,0,0,0,42.95346,42.95346,42.95346,0.08175478,0.9490519,0.2124147,-0.1344413,0.120451,0.06313979,18.83871,18.83871,18.83871
0.01466451,1.668809,-0.006660081,0.0165228,0,0,1.092344,1.092344,1.092344,-0.1300092,0.9097053,0.09529771,0,0,0,41.92612,41.92612,41.92612,0.07665782,0.960352,0.2175109,-0.17219,0.07655958,0.02161895,17.16908,17.16908,17.16908
0.01631679,1.667878,-0.00611156,0.0272017,0,0,1.519347,1.519347,1.519347,-0.1300241,0.9088972,0.09568089,0,0,0,42.04206,42.04206,42.04206,0.07188886,0.9605504,0.2181883,-0.0853176,0.01582845,-0.009947563,16.63612,16.63612,16.63612
0.01903697,1.668259,-0.00702031,0.0184532,0,0,0.9933802,0.9933802,0.9933802,-0.1291607,0.9075708,0.09490371,0,0,0,41.91273,41.91273,41.91273,0.08014357,0.9637393,0.2161917,0.1138838,0.0005721755,-0.03026856,16.42065,16.42065,16.42065
0.0208823,1.668591,-0.007765462,0.0219625,0,0,0.7157015,0.7157015,0.7157015,-0.1285237,0.9072376,0.09404893,0,0,0,42.47761,42.47761,42.47761,0.09830246,0.9486411,0.2120193,0.2358132,-0.1075005,-0.03066715,18.06824,18.06824,18.06824
0.02307855,1.668523,-0.008284919,-0.001401,0,0,0.8200511,0.8200511,0.8200511,-0.1276771,0.9067972,0.09279513,0,0,0,44.28261,44.28261,44.28261,0.1098644,0.9385405,0.2054135,0.226267,-0.1038794,-0.04543112,20.78224,20.78224,20.78224
0.02293844,1.668251,-0.007992554,-0.0070936,0,0,1.192214,1.192214,1.192214,-0.1272749,0.9065209,0.09222942,0,0,0,45.60021,45.60021,45.60021,0.1123368,0.9326816,0.199965,0.1395976,-0.08857543,-0.04207706,21.82967,21.82967,21.82967
0.02222908,1.666363,-0.006096365,-0.0066291,0,0,2.783505,2.783505,2.783505,-0.1275028,0.9061632,0.09274034,0,0,0,43.90659,43.90659,43.90659,0.1153135,0.9307228,0.2000854,0.07909796,-0.04324088,0.004211706,22.71074,22.71074,22.71074
0.02156616,1.665698,-0.005345707,-0.0037366,0,0,2.891211,2.891211,2.891211,-0.1277408,0.9056306,0.09330469,0,0,0,42.94156,42.94156,42.94156,0.1173724,0.9305962,0.2017055,0.01759101,-0.01321888,0.01508984,23.26081,23.26081,23.26081
0.0211925,1.666205,-0.00569279,0.00758,0,0,2.424748,2.424748,2.424748,-0.1278498,0.9061164,0.09328046,0,0,0,42.38758,42.38758,42.38758,0.115508,0.9276499,0.2010398,-0.04091425,-0.03333542,0.002022776,23.9016,23.9016,23.9016
0.0219505,1.666504,-0.006148183,0.0004156,0,0,2.211874,2.211874,2.211874,-0.1277818,0.9064385,0.09300516,0,0,0,41.96329,41.96329,41.96329,0.111466,0.9260159,0.197078,-0.0724019,-0.01854004,-0.01744259,24.28698,24.28698,24.28698
0.02199207,1.665604,-0.005372571,-0.0076961,0,0,3.244172,3.244172,3.244172,-0.1276961,0.9062115,0.09291947,0,0,0,42.70056,42.70056,42.70056,0.1054836,0.925422,0.1910072,-0.08409737,-0.005803982,-0.04182345,23.86482,23.86482,23.86482
0.02122246,1.665725,-0.005283252,-0.00974,0,0,2.779193,2.779193,2.779193,-0.127745,0.9060252,0.09309947,0,0,0,43.30944,43.30944,43.30944,0.1027215,0.9253657,0.1866825,-0.04496605,-0.0227447,-0.03641857,23.14418,23.14418,23.14418
0.02024845,1.666182,-0.005444238,-0.0064323,0,0,2.402732,2.402732,2.402732,-0.1279855,0.9065356,0.09337921,0,0,0,43.07982,43.07982,43.07982,0.09871699,0.9219976,0.1820235,-0.04493599,-0.01905156,-0.05696015,23.08171,23.08171,23.08171
0.01960522,1.666612,-0.005671769,0.0082021,0,0,2.267711,2.267711,2.267711,-0.1282852,0.9069288,0.09373572,0,0,0,42.30515,42.30515,42.30515,0.09298848,0.923067,0.178257,-0.04060563,0.002738374,-0.03380366,23.12401,23.12401,23.12401
0.02042543,1.665901,-0.005241982,0.0059389,0,0,2.929256,2.929256,2.929256,-0.1282613,0.9067966,0.09370205,0,0,0,41.95275,41.95275,41.95275,0.09183053,0.9249751,0.1807889,-0.00779929,0.007822759,0.01037894,23.08126,23.08126,23.08126
0.02101933,1.665803,-0.005301073,0.0059389,0,0,2.794903,2.794903,2.794903,-0.1279076,0.9065525,0.09318758,0,0,0,42.11298,42.11298,42.11298,0.09274475,0.9259136,0.1849037,0.008899321,0.02399872,0.02346862,22.78306,22.78306,22.78306
