HeadPos.x,HeadPos.y,HeadPos.z,HeadVel.x,HeadVel.y,HeadVel.z,HeadRot.x,HeadRot.y,HeadRot.z,LeftPos.x,LeftPos.y,LeftPos.z,LeftVel.x,LeftVel.y,LeftVel.z,LeftRot.x,LeftRot.y,LeftRot.z,RightPos.x,RightPos.y,RightPos.z,RightVel.x,RightVel.y,RightVel.z,RightRot.x,RightRot.y,RightRot.z
-0.2009136,1.604422,-0.448714,0.009291362,0.003055534,0.002369339,9.159264,9.159264,9.159264,-0.4372497,0.7617075,-0.4689225,0.002832486,0.001375195,-0.01267478,79.98064,79.98064,79.98064,-0.0145139,0.7417294,-0.4918904,0.01148149,-0.02563849,-0.05301537,76.63309,76.63309,76.63309
-0.1984867,1.606091,-0.4492548,0.02293012,0.01361407,-0.007002296,8.496013,8.496013,8.496013,-0.4395491,0.7606435,-0.4659226,-0.01262398,0.006074833,0.03158477,79.88065,79.88065,79.88065,-0.01096875,0.7379902,-0.4948197,0.01974905,-0.02722709,-0.02467709,76.81124,76.81124,76.81124
-0.194225,1.607649,-0.4512958,0.04196345,0.01397562,-0.02361283,7.717765,7.717765,7.717765,-0.4475282,0.7608514,-0.4362915,-0.0684985,0.0191094,0.2814909,78.89314,78.89314,78.89314,-0.009981649,0.7368159,-0.4820117,0.00327171,-0.01996072,0.1252747,80.34696,80.34696,80.34696
-0.1898018,1.607518,-0.4554042,0.04780684,-0.003063508,-0.04764399,7.703588,7.703588,7.703588,-0.4676544,0.7931105,-0.3116656,-0.1364951,0.2572815,0.9118085,68.53376,68.53376,68.53376,0.004777851,0.7676869,-0.3568277,0.08251065,0.253627,0.9053866,72.26761,72.26761,72.26761
-0.1885795,1.607744,-0.4602517,0.01568542,-0.002362143,-0.0519383,7.698266,7.698266,7.698266,-0.4697457,0.9034045,-0.1207312,-0.05063039,0.8043364,1.464993,50.19203,50.19203,50.19203,-0.001710365,0.9335848,-0.08599435,-0.04396502,1.097048,1.793326,45.69006,45.69006,45.69006
-0.1894728,1.608081,-0.4642164,-0.006421844,0.002916793,-0.03652424,7.761353,7.761353,7.761353,-0.4362115,1.075556,0.02146093,0.1910197,1.393343,1.404843,31.9576,31.9576,31.9576,-0.03974041,1.207911,0.07615715,-0.2367216,2.000765,1.476893,20.34728,20.34728,20.34728
-0.1892965,1.607834,-0.4664326,0.004539884,-0.002213384,-0.02523905,8.114309,8.114309,8.114309,-0.3959159,1.257729,0.0892266,0.3233554,1.64393,0.9038389,17.52238,17.52238,17.52238,-0.06223809,1.411364,0.08815842,-0.2249065,1.897184,0.5885566,5.972481,5.972481,5.972481
-0.1890476,1.608171,-0.467106,0.005998811,0.002876971,-0.01112904,7.968791,7.968791,7.968791,-0.3609191,1.394822,0.1035449,0.3325116,1.464828,0.4247667,7.56923,7.56923,7.56923,-0.08033422,1.480886,0.06219259,-0.1993331,1.10279,0.06660053,0.9165674,0.9165674,0.9165674
-0.1878863,1.607645,-0.4665444,0.01336878,-0.005315513,0.001222605,8.414929,8.414929,8.414929,-0.3329401,1.495139,0.09712802,0.2799602,1.092251,0.09542885,0.1753543,0.1753543,0.1753543,-0.07296369,1.469034,0.05509169,-0.02547969,0.3382278,-0.01467299,2.060694,2.060694,2.060694
-0.1866097,1.607412,-0.4650696,0.01689724,-0.00349914,0.01031722,8.523051,8.523051,8.523051,-0.315808,1.560841,0.08720684,0.2069727,0.8530989,-0.03330886,355.2823,355.2823,355.2823,-0.06608187,1.467221,0.05256825,0.04983952,0.04494045,-0.01979724,2.419853,2.419853,2.419853
