HeadPos.x, HeadPos.y, HeadPos.z, HeadVel.x, HeadVel.y, HeadVel.z, HeadRot.x, HeadRot.y, HeadRot.z,LeftPos.x, LeftPos.y, LeftPos.z, LeftVel.x, LeftVel.y, LeftVel.z, LeftRot.x, LeftRot.y, LeftRot.z,RightPos.x, RightPos.y, RightPos.z, RightVel.x, RightVel.y, RightVel.z, RightRot.x, RightRot.y, RightRot.z
0.05986455 ,1.574376, -0.2398946, -0.1510347, 0.001228286, -0.01068673, 4.831954, 4.831954, 4.831954,-0.1276479 ,0.6280473, -0.2589393, -0.06213478, -0.01091565, -0.03907685, 84.26394, 84.26394, 84.26394,0.2277981 ,0.6125325, -0.193435, -0.2636349, 0.009068318, 0.07849125, 80.05811, 80.05811, 80.05811
0.04753494 ,1.575512, -0.245737, -0.1206643, 0.02078577, -0.0442722, 4.907218, 4.907218, 4.907218,-0.1340591 ,0.6271639, -0.2624581, -0.05869488, -0.007914216, -0.03220653, 84.66785, 84.66785, 84.66785,0.19201 ,0.6437065, -0.1114826, -0.2881809, 0.2248468, 0.5354716, 82.49729, 82.49729, 82.49729
0.03721141 ,1.576828, -0.2537152, -0.09746427, 0.02450781, -0.07150511, 4.528636, 4.528636, 4.528636,-0.1369117 ,0.6261071, -0.2653149, -0.02577479, -0.01396797, -0.02748932, 84.97332, 84.97332, 84.97332,0.1604067 ,0.7341188, 0.02894061, -0.2757058, 0.6490332, 1.002942, 63.67015, 63.67015, 63.67015
0.02603179 ,1.579154, -0.2624648, -0.1005143, 0.03287189, -0.07764232, 3.823511, 3.823511, 3.823511,-0.1371447 ,0.6260172, -0.2656925, -0.008856095, -0.004664359, -0.008605035, 85.76192, 85.76192, 85.76192,0.1297447 ,0.8882883, 0.1463634, -0.2606161, 1.14826, 0.9808487, 43.17975, 43.17975, 43.17975
0.01590595 ,1.58043, -0.2692336, -0.1040611, 0.02177364, -0.06938805, 3.562268, 3.562268, 3.562268,-0.1396627 ,0.6250962, -0.2683609, -0.02590159, -0.01347223, -0.02589359, 86.18638, 86.18638, 86.18638,0.1100181 ,1.032366, 0.2043795, -0.2134685, 1.347212, 0.7282984, 28.42672, 28.42672, 28.42672
0.00571348 ,1.581288, -0.275988, -0.09533201, 0.01610728, -0.06457319, 3.459702, 3.459702, 3.459702,-0.144306 ,0.6235242, -0.2710645, -0.03719599, -0.01157075, -0.02269225, 86.82263, 86.82263, 86.82263,0.0979359 ,1.186157, 0.2461917, -0.150748, 1.370298, 0.4719755, 14.14582, 14.14582, 14.14582
-0.004760946 ,1.582631, -0.2802615, -0.09934768, 0.01811329, -0.03827546, 2.991097, 2.991097, 2.991097,-0.1480935 ,0.6216012, -0.2731179, -0.03418242, -0.01509134, -0.02307504, 87.56547, 87.56547, 87.56547,0.07849025 ,1.31737, 0.2547162, -0.1719965, 1.245523, 0.2165428, 3.15807, 3.15807, 3.15807
-0.01359591 ,1.582854, -0.2849765, -0.0848392, 0.008683956, -0.04207793, 3.06019, 3.06019, 3.06019,-0.1516766 ,0.6194316, -0.2740808, -0.03852424, -0.01918587, -0.009082166, 87.92359, 87.92359, 87.92359,0.06201294 ,1.403246, 0.2673745, -0.1456473, 0.9254546, 0.1642811, 357.9079, 357.9079, 357.9079
-0.02213112 ,1.582682, -0.2889622, -0.08314807, -0.0005068309, -0.0359712, 3.225477, 3.225477, 3.225477,-0.1542363 ,0.6185849, -0.2731405, -0.02838369, -0.01114297, 0.002137493, 88.72038, 88.72038, 88.72038,0.05201227 ,1.450881, 0.2782844, -0.1223053, 0.6093841, 0.1140429, 357.9921, 357.9921, 357.9921
-0.02952391 ,1.582414, -0.2924587, -0.07318056, -0.001882197, -0.0307338, 3.542504, 3.542504, 3.542504,-0.1574556 ,0.6174907, -0.2731785, -0.0376542, -0.0107435, -0.006894697, 89.26166, 89.26166, 89.26166,0.04081482 ,1.479278, 0.2854308, -0.1060559, 0.358915, 0.07412226, 357.4642, 357.4642, 357.4642
-0.03400102 ,1.581547, -0.2943694, -0.05372384, -0.006311451, -0.01793662, 3.752696, 3.752696, 3.752696,-0.1609308 ,0.616162, -0.2730768, -0.03756575, -0.01008417, -0.002006356, 89.36265, 89.36265, 89.36265,0.03278835 ,1.495737, 0.2930378, -0.0716512, 0.212374, 0.08166868, 357.1219, 357.1219, 357.1219
-0.0363806 ,1.580558, -0.2959087, -0.02627441, -0.0100222, -0.01281202, 4.101406, 4.101406, 4.101406,-0.1630163 ,0.6147744, -0.2726532, -0.02313625, -0.004881448, 0.004003773, 89.43838, 89.43838, 89.43838,0.03062151 ,1.504391, 0.2975366, -0.01985886, 0.09556495, 0.04678452, 358.0726, 358.0726, 358.0726
-0.03842084 ,1.579576, -0.2965335, -0.02360442, -0.01052746, -0.005128744, 4.515881, 4.515881, 4.515881,-0.1640705 ,0.6148751, -0.2719459, -0.0172659, 0.0009249166, 0.003351264, 89.66254, 89.66254, 89.66254,0.03286568 ,1.509654, 0.29669, 0.007076718, 0.05291303, -0.008215635, 357.9298, 357.9298, 357.9298
-0.03867815 ,1.579002, -0.2974011, -0.003063738, -0.005768206, -0.00767093, 4.741077, 4.741077, 4.741077,-0.1659058 ,0.6151985, -0.2721592, -0.01978389, -0.00127543, -0.003747071, 89.70261, 89.70261, 89.70261,0.03606594 ,1.509338, 0.2935137, 0.03215547, -0.002338827, -0.01428529, 357.7095, 357.7095, 357.7095
-0.03616617 ,1.579408, -0.2975351, 0.02318444, 0.001125242, -0.006197083, 4.620654, 4.620654, 4.620654,-0.1661645 ,0.6153412, -0.2717845, -0.007091772, 0.004574216, 0.002592262, 89.67736, 89.67736, 89.67736,0.04127787 ,1.50732, 0.2917856, 0.04086382, -0.01091774, -0.02203649, 357.7308, 357.7308, 357.7308
-0.03184297 ,1.580159, -0.2959666, 0.04498712, 0.005429387, 0.004944845, 4.389865, 4.389865, 4.389865,-0.1658377 ,0.615849, -0.2722988, -0.004888753, 0.0003720389, -0.008563871, 89.25062, 89.25062, 89.25062,0.04447522 ,1.50915, 0.2823043, 0.0187721, 0.007492435, -0.09809963, 356.3962, 356.3962, 356.3962
-0.02286683 ,1.581096, -0.29155, 0.08762278, 0.005483496, 0.02859879, 4.052337, 4.052337, 4.052337,-0.1663235 ,0.6161837, -0.2746599, -0.009406781, 0.0064231, -0.01630003, 88.26314, 88.26314, 88.26314,0.04510918 ,1.506895, 0.2581485, 0.02318557, -0.01961195, -0.206886, 353.1882, 353.1882, 353.1882
-0.01003957 ,1.580704, -0.2865345, 0.1284479, -0.01327537, 0.02967091, 4.23866, 4.23866, 4.23866,-0.1666801 ,0.6188787, -0.2754659, -0.005770647, 0.01446673, -0.01197214, 87.06008, 87.06008, 87.06008,0.05428488 ,1.490559, 0.2151877, 0.06448962, -0.1402089, -0.3320156, 347.1204, 347.1204, 347.1204
0.003679356 ,1.580119, -0.2812464, 0.1524751, -0.02270796, 0.0299152, 4.474961, 4.474961, 4.474961,-0.166328 ,0.621762, -0.2745589, 0.0002331056, 0.02452439, 0.00521917, 86.19028, 86.19028, 86.19028,0.07160628 ,1.445787, 0.1702478, 0.133615, -0.3901711, -0.3916346, 343.6263, 343.6263, 343.6263
0.0200743 ,1.577762, -0.2748795, 0.1762342, -0.04076202, 0.04548142, 4.723942, 4.723942, 4.723942,-0.1651403 ,0.6253993, -0.2728059, 0.005581831, 0.03544758, 0.01272879, 85.63628, 85.63628, 85.63628,0.09946555 ,1.371495, 0.1425058, 0.2395162, -0.6482713, -0.3107369, 345.9693, 345.9693, 345.9693
0.04081634 ,1.574727, -0.2672597, 0.1951841, -0.04421825, 0.0522162, 5.279723, 5.279723, 5.279723,-0.1657616 ,0.6303551, -0.2711085, -0.01059793, 0.03912461, 0.003961605, 84.79459, 84.79459, 84.79459,0.130704 ,1.240245, 0.1171785, 0.2375864, -0.9952057, -0.2366478, 355.1182, 355.1182, 355.1182
0.05883599 ,1.573824, -0.2590028, 0.1681067, -0.00957794, 0.06230603, 4.996179, 4.996179, 4.996179,-0.1677571 ,0.6326064, -0.2766851, -0.01895596, 0.01929122, -0.04130972, 82.06024, 82.06024, 82.06024,0.1523325 ,1.093513, 0.09546617, 0.2121949, -1.188993, -0.1801629, 12.42234, 12.42234, 12.42234
0.07439868 ,1.571123, -0.2510511, 0.1485054, -0.02669667, 0.0619874, 5.547638, 5.547638, 5.547638,-0.1659322 ,0.6339061, -0.2777382, 0.01683889, 0.01126952, -0.008535694, 80.41717, 80.41717, 80.41717,0.1729475 ,0.9389892, 0.07101997, 0.1805654, -1.319528, -0.1997841, 30.85874, 30.85874, 30.85874
0.08436686 ,1.569054, -0.246477, 0.09932574, -0.01904092, 0.03432628, 6.143185, 6.143185, 6.143185,-0.1592069 ,0.6334989, -0.2739551, 0.05138566, 0.00140316, 0.03180478, 80.12868, 80.12868, 80.12868,0.2015052 ,0.792136, 0.01776044, 0.2184293, -1.335648, -0.4095072, 49.1596, 49.1596, 49.1596
0.08799668 ,1.569024, -0.2426712, 0.04939782, -0.002434588, 0.03007494, 5.986112, 5.986112, 5.986112,-0.1509584 ,0.6338017, -0.2674913, 0.08852518, 0.0009560025, 0.07062122, 80.24426, 80.24426, 80.24426,0.2129116 ,0.6946887, -0.05510775, 0.1670804, -1.144047, -0.6067155, 59.766, 59.766, 59.766
0.08900531 ,1.567902, -0.2396723, 0.01719377, -0.01154686, 0.02450579, 6.4603, 6.4603, 6.4603,-0.1363115 ,0.6342352, -0.2593614, 0.1230905, 0.003397369, 0.06903331, 81.37428, 81.37428, 81.37428,0.224926 ,0.6197028, -0.1421246, 0.1333044, -0.8445271, -0.7548196, 76.77738, 76.77738, 76.77738
0.08781977 ,1.567698, -0.2380836, -0.009123215, -0.004215742, 0.01693657, 6.740766, 6.740766, 6.740766,-0.1302532 ,0.6339987, -0.2545156, 0.05400613, -0.004840308, 0.0384727, 81.71279, 81.71279, 81.71279,0.2344227 ,0.5821167, -0.2320767, 0.1106754, -0.4422138, -0.7577226, 74.21867, 74.21867, 74.21867
0.08556909 ,1.568573, -0.2359383, -0.02122627, 0.005482965, 0.02596702, 6.261019, 6.261019, 6.261019,-0.132344 ,0.6331678, -0.2528543, 0.006718997, 0.0003687866, 0.02120812, 81.82127, 81.82127, 81.82127,0.2271866 ,0.5948958, -0.2322228, -0.05120746, -0.05775871, -0.194907, 79.73145, 79.73145, 79.73145
