HeadPos.x, HeadPos.y, HeadPos.z, HeadVel.x, HeadVel.y, HeadVel.z, HeadRot.x, HeadRot.y, HeadRot.z,LeftPos.x, LeftPos.y, LeftPos.z, LeftVel.x, LeftVel.y, LeftVel.z, LeftRot.x, LeftRot.y, LeftRot.z,RightPos.x, RightPos.y, RightPos.z, RightVel.x, RightVel.y, RightVel.z, RightRot.x, RightRot.y, RightRot.z
0.0260106 ,1.580174, -0.07886527, 0.03985963, -0.03544911, -0.02308978, 4.946372, 4.946372, 4.946372,-0.2231407 ,0.7210233, -0.09139583, -0.07118252, 0.07536194, 0.03472042, 83.37694, 83.37694, 83.37694,0.05575275 ,0.7031369, 0.1465565, -0.0557927, 0.1572489, 0.3560593, 76.06596, 76.06596, 76.06596
0.02765867 ,1.57754, -0.08136956, 0.02335597, -0.02908333, -0.03323226, 4.268713, 4.268713, 4.268713,-0.2391256 ,0.7246058, -0.08518568, -0.1261992, 0.04732569, 0.05347965, 84.67693, 84.67693, 84.67693,0.06357895 ,0.7508264, 0.219372, -0.002005818, 0.3067844, 0.446988, 65.21461, 65.21461, 65.21461
0.0252219 ,1.572306, -0.08327176, -0.008389472, -0.04568248, -0.02642284, 4.343182, 4.343182, 4.343182,-0.2576869 ,0.7273926, -0.07729422, -0.1484164, 0.03617602, 0.06718823, 86.64491, 86.64491, 86.64491,0.1346826 ,0.7614709, 0.2590273, 0.5241698, 0.1359219, 0.3491115, 56.87473, 56.87473, 56.87473
0.02232162 ,1.567848, -0.08046135, -0.02084437, -0.04431408, 0.01104048, 3.804705, 3.804705, 3.804705,-0.2709121 ,0.7364089, -0.06352568, -0.1251413, 0.07700402, 0.1215013, 85.95663, 85.95663, 85.95663,0.2616442 ,0.8440703, 0.209519, 0.9222602, 0.7416057, -0.2381978, 64.65599, 64.65599, 64.65599
0.0141579 ,1.568158, -0.07335782, -0.07786985, 0.0008952368, 0.05766128, 3.237578, 3.237578, 3.237578,-0.2868152 ,0.7408674, -0.04719656, -0.1367314, 0.04615309, 0.1386126, 85.18322, 85.18322, 85.18322,0.3584075 ,1.151166, 0.1119322, 0.8582529, 2.087909, -0.7031495, 9.25219, 9.25219, 9.25219
0.002920989 ,1.571104, -0.06516933, -0.103457, 0.04455446, 0.07683399, 2.673078, 2.673078, 2.673078,-0.2995798 ,0.743019, -0.02804555, -0.1048466, 0.01735355, 0.1429421, 82.96079, 82.96079, 82.96079,0.2457464 ,1.44335, -0.0994306, -0.5279277, 2.280454, -1.459191, 294.8565, 294.8565, 294.8565
-0.003180171 ,1.572302, -0.05404047, -0.06219692, 0.02854109, 0.1058531, 2.369112, 2.369112, 2.369112,-0.3051815 ,0.7520137, -0.027504, -0.05716724, 0.07057147, -0.01197872, 82.37329, 82.37329, 82.37329,0.1148563 ,1.456809, -0.1990859, -0.9276421, 0.8691954, -1.140934, 321.0934, 321.0934, 321.0934
-0.005870751 ,1.571547, -0.04545145, -0.04218109, 0.01846386, 0.09380966, 3.387633, 3.387633, 3.387633,-0.3107801 ,0.7512655, -0.05411974, -0.06768348, -0.0001825716, -0.2047221, 86.3603, 86.3603, 86.3603,0.04474995 ,1.405085, -0.2455216, -0.7778381, -0.0007710075, -0.700928, 0.06168089, 0.06168089, 0.06168089
-0.01784851 ,1.576046, -0.03937679, -0.1168247, 0.05840095, 0.04935658, 4.119775, 4.119775, 4.119775,-0.3220332 ,0.7372727, -0.06383923, -0.07333774, -0.1184055, -0.08572216, 87.81197, 87.81197, 87.81197,0.03580137 ,1.385457, -0.2376822, -0.2842877, -0.02657953, -0.1287, 22.23582, 22.23582, 22.23582
-0.04011027 ,1.5919, -0.04212075, -0.1920601, 0.1542873, -0.0517321, 3.784975, 3.784975, 3.784975,-0.3182889 ,0.7145717, -0.04728633, 0.01391303, -0.1711496, 0.1048661, 80.8169, 80.8169, 80.8169,0.04575346 ,1.489377, -0.2500379, -0.02805015, 0.7228066, -0.1270621, 15.84707, 15.84707, 15.84707
