HeadPos.x, HeadPos.y, HeadPos.z, HeadVel.x, HeadVel.y, HeadVel.z, HeadRot.x, HeadRot.y, HeadRot.z,LeftPos.x, LeftPos.y, LeftPos.z, LeftVel.x, LeftVel.y, LeftVel.z, LeftRot.x, LeftRot.y, LeftRot.z,RightPos.x, RightPos.y, RightPos.z, RightVel.x, RightVel.y, RightVel.z, RightRot.x, RightRot.y, RightRot.z
0.2045015 ,1.581654, -0.2120102, 0.01143779, 0.01283983, -0.006413178, 4.113472, 4.113472, 4.113472,-0.001882061 ,0.6624445, -0.173804, -0.003360675, -0.08715216, -0.142854, 87.53756, 87.53756, 87.53756,0.3646822 ,0.64586, -0.1880295, -0.01517668, -0.01743634, -0.0438046, 58.8213, 58.8213, 58.8213
0.2080576 ,1.58586, -0.213394, 0.03413031, 0.05120985, -0.01746832, 1.676841, 1.676841, 1.676841,-0.05619242 ,0.6979528, -0.09005702, -0.3818925, 0.281352, 0.6018617, 82.86518, 82.86518, 82.86518,0.3674246 ,0.6417193, -0.1953666, 0.02292885, -0.01357494, -0.06195259, 59.75603, 59.75603, 59.75603
0.2109496 ,1.593483, -0.2175988, 0.02378887, 0.08787574, -0.04449664, 357.5715, 357.5715, 357.5715,-0.2183176 ,0.9370865, 0.1520468, -1.132043, 1.695918, 1.644266, 31.28715, 31.28715, 31.28715,0.3732738 ,0.6362209, -0.2008741, 0.04785836, -0.03835297, -0.04677486, 60.67965, 60.67965, 60.67965
0.2126046 ,1.602631, -0.2240169, 0.004231165, 0.0993313, -0.06107778, 353.3662, 353.3662, 353.3662,-0.2947823 ,1.429447, 0.2247174, -0.6593455, 3.27969, 0.859221, 330.4301, 330.4301, 330.4301,0.3820607 ,0.6359277, -0.19662, 0.07179102, -0.01757658, 0.04998143, 60.90989, 60.90989, 60.90989
0.2082582 ,1.600627, -0.2284614, -0.04992156, 0.003040639, -0.03154174, 354.7987, 354.7987, 354.7987,-0.1137468 ,1.710709, 0.2022289, 0.8910964, 2.936981, 0.2249922, 299.5172, 299.5172, 299.5172,0.3820891 ,0.6365592, -0.1837531, -0.007590358, 0.02249199, 0.105473, 59.41071, 59.41071, 59.41071
0.2013447 ,1.601123, -0.2309566, -0.0681291, -0.002433202, -0.01015704, 355.6602, 355.6602, 355.6602,0.2052622 ,1.750813, 0.1075128, 2.187736, 1.175807, -0.5100238, 311.8198, 311.8198, 311.8198,0.3744677 ,0.6416304, -0.1693211, -0.06772215, 0.03756513, 0.1476817, 58.55356, 58.55356, 58.55356
0.199249 ,1.601121, -0.2327362, -0.03198946, -0.00964516, -0.01490042, 355.6109, 355.6109, 355.6109,0.2697794 ,1.635029, -5.263585E-05, 1.168942, -0.1961447, -0.8884975, 344.7305, 344.7305, 344.7305,0.3636591 ,0.6532378, -0.1364651, -0.08790436, 0.09756464, 0.237801, 55.1028, 55.1028, 55.1028
0.1993491 ,1.597919, -0.238582, -0.001243389, -0.02806482, -0.04717414, 356.5054, 356.5054, 356.5054,0.1598567 ,1.701374, 0.04686536, -0.3438681, 0.4749939, 0.06237777, 316.3834, 316.3834, 316.3834,0.3542617 ,0.6589078, -0.1328812, -0.07763958, 0.04400886, 0.09252228, 53.9143, 53.9143, 53.9143
0.2056731 ,1.595647, -0.2472576, 0.05134619, -0.02149677, -0.07071012, 357.2261, 357.2261, 357.2261,-0.109508 ,1.796167, 0.1318012, -1.746703, 0.5694273, 0.5104979, 303.6783, 303.6783, 303.6783,0.3623834 ,0.6604459, -0.1320971, 0.0625293, 0.01531188, -0.0004769597, 52.55616, 52.55616, 52.55616
0.211008 ,1.595147, -0.2538167, 0.05166801, -0.004679232, -0.06975377, 357.0504, 357.0504, 357.0504,-0.3394447 ,1.680732, 0.2001085, -1.9366, -0.5615226, 0.6252099, 10.99696, 10.99696, 10.99696,0.3787037 ,0.6538968, -0.1497621, 0.1429105, -0.05707686, -0.1507023, 53.77257, 53.77257, 53.77257
0.2116651 ,1.595706, -0.2573362, 0.002289135, 0.02525186, -0.02755104, 356.6154, 356.6154, 356.6154,-0.322386 ,1.625244, 0.1774889, -0.4886768, -0.3797697, -0.003779821, 17.94948, 17.94948, 17.94948,0.3941488 ,0.6456795, -0.163772, 0.1242413, -0.05754289, -0.09502003, 55.80451, 55.80451, 55.80451
0.2056867 ,1.597277, -0.2545123, -0.05507044, 0.02508694, 0.01996471, 356.1739, 356.1739, 356.1739,-0.1244758 ,1.785586, 0.1716568, 1.10017, 0.8092317, -0.01738493, 314.4124, 314.4124, 314.4124,0.3855753 ,0.6546694, -0.1529426, -0.05702307, 0.05831454, 0.07650726, 55.26406, 55.26406, 55.26406
0.1963227 ,1.596727, -0.2501691, -0.09339439, 0.004679949, 0.03844438, 356.6985, 356.6985, 356.6985,0.1223406 ,1.798042, 0.1449373, 1.966503, 0.2669017, -0.2337901, 288.5374, 288.5374, 288.5374,0.375074 ,0.6575921, -0.1378827, -0.1055027, 0.04073276, 0.1370467, 54.0249, 54.0249, 54.0249
