HeadPos.x, HeadPos.y, HeadPos.z, HeadVel.x, HeadVel.y, HeadVel.z, HeadRot.x, HeadRot.y, HeadRot.z,LeftPos.x, LeftPos.y, LeftPos.z, LeftVel.x, LeftVel.y, LeftVel.z, LeftRot.x, LeftRot.y, LeftRot.z,RightPos.x, RightPos.y, RightPos.z, RightVel.x, RightVel.y, RightVel.z, RightRot.x, RightRot.y, RightRot.z
-0.0792741 ,1.526718, -0.2760642, -0.007188962, 0.0005698997, -0.001764677, 8.9413, 8.9413, 8.9413,-0.2668611 ,0.6691199, -0.2152397, 0.02360264, -0.008233286, -0.001558037, 86.89972, 86.89972, 86.89972,0.1082252 ,0.6875101, -0.2224186, 0.01719641, 0.001300935, -0.01325695, 69.42521, 69.42521, 69.42521
-0.0806786 ,1.526628, -0.2751589, -0.01432959, -0.001873976, 0.007818608, 9.068706, 9.068706, 9.068706,-0.2669536 ,0.6644522, -0.2195418, 0.006300098, -0.03428648, -0.05558735, 87.53002, 87.53002, 87.53002,0.1085593 ,0.687362, -0.2224003, 0.002870926, 0.002245378, -0.0008091621, 69.4657, 69.4657, 69.4657
-0.08291084 ,1.526357, -0.2732144, -0.02692509, -0.003545254, 0.02216554, 9.428367, 9.428367, 9.428367,-0.2780068 ,0.6577398, -0.2564044, -0.09265525, -0.05639805, -0.3041598, 85.66149, 85.66149, 85.66149,0.1066319 ,0.6880482, -0.2204139, -0.01850204, 0.005230058, 0.02076999, 69.61633, 69.61633, 69.61633
-0.08540547 ,1.525456, -0.2692713, -0.03607209, -0.01232613, 0.0486317, 9.937935, 9.937935, 9.937935,-0.3070962 ,0.6492323, -0.3409174, -0.2297172, -0.07621844, -0.6562236, 80.90966, 80.90966, 80.90966,0.1029444 ,0.6870069, -0.2163283, -0.03360226, -0.01046182, 0.0313676, 69.75712, 69.75712, 69.75712
-0.08636901 ,1.524385, -0.2658721, -0.02896379, -0.01840238, 0.05006457, 11.14683, 11.14683, 11.14683,-0.3773713 ,0.6496269, -0.5153942, -0.5383514, 0.009215103, -1.362115, 72.59888, 72.59888, 72.59888,0.09682227 ,0.6833605, -0.2150834, -0.060852, -0.03174666, 0.01379074, 70.63596, 70.63596, 70.63596
-0.08311725 ,1.528594, -0.2601862, 0.01237773, 0.03659012, 0.06400277, 9.833636, 9.833636, 9.833636,-0.4407023 ,0.7600117, -0.7895407, -0.5818867, 0.7379131, -1.906723, 30.55719, 30.55719, 30.55719,0.08082983 ,0.6862652, -0.2112136, -0.1451544, 0.03999458, 0.03170597, 71.04208, 71.04208, 71.04208
-0.07949384 ,1.528585, -0.2561035, 0.02076223, 0.003759136, 0.04546971, 10.29221, 10.29221, 10.29221,-0.5342814 ,1.000139, -0.9058837, -0.7708696, 1.697736, -1.253051, 5.41305, 5.41305, 5.41305,0.07423553 ,0.6910888, -0.2036616, -0.03863542, 0.02011994, 0.0963934, 71.45864, 71.45864, 71.45864
-0.07451684 ,1.529015, -0.2582411, 0.0449541, -0.004699586, -0.01496966, 9.648897, 9.648897, 9.648897,-0.5917269 ,1.280906, -0.8656181, -0.5348573, 2.416796, -0.1247412, 335.3528, 335.3528, 335.3528,0.06294853 ,0.6935852, -0.1863721, -0.1106388, 0.02669899, 0.1271928, 71.97488, 71.97488, 71.97488
-0.06736925 ,1.535429, -0.2662135, 0.08732733, 0.06666385, -0.08773344, 6.065643, 6.065643, 6.065643,-0.4577165 ,1.461725, -0.7014862, 0.6433195, 1.940663, 0.946884, 324.2719, 324.2719, 324.2719,0.04729079 ,0.6995067, -0.1790434, -0.14659, 0.058808, 0.1018239, 74.14343, 74.14343, 74.14343
-0.05999903 ,1.539166, -0.2745078, 0.09311045, 0.04456452, -0.09593362, 3.433977, 3.433977, 3.433977,-0.3120112 ,1.441322, -0.5773963, 1.120723, 0.5998029, 1.097952, 323.23, 323.23, 323.23,0.03807288 ,0.7030094, -0.1672321, -0.111637, 0.04624758, 0.1201618, 71.59749, 71.59749, 71.59749
-0.05099655 ,1.542765, -0.2774283, 0.09742552, 0.04612914, -0.04478419, 1.784352, 1.784352, 1.784352,-0.2619131 ,1.400157, -0.5550802, 0.6286235, 0.02268999, 0.469297, 335.0037, 335.0037, 335.0037,0.03208834 ,0.7101334, -0.1648526, -0.04647868, 0.06274998, 0.02276771, 69.23875, 69.23875, 69.23875
-0.0397692 ,1.54596, -0.2782051, 0.1218625, 0.05454934, -0.02681255, 0.7131445, 0.7131445, 0.7131445,-0.3119208 ,1.469683, -0.5535338, -0.1371809, 0.5325481, 0.2025576, 336.2677, 336.2677, 336.2677,0.04225247 ,0.7184544, -0.1707228, 0.08508714, 0.06164465, -0.0498984, 67.21825, 67.21825, 67.21825
-0.03942613 ,1.545929, -0.2864764, 0.002557349, 0.0262981, -0.08510505, 1.121186, 1.121186, 1.121186,-0.3643594 ,1.6708, -0.4106911, -0.3707528, 1.44745, 0.999729, 309.3188, 309.3188, 309.3188,0.07752744 ,0.7114217, -0.1858402, 0.272713, -0.03597391, -0.1051177, 67.21668, 67.21668, 67.21668
-0.04753024 ,1.542966, -0.2991377, -0.06962039, -0.02112651, -0.1079031, 2.563323, 2.563323, 2.563323,-0.4435143 ,1.929071, 0.07062851, -0.5488387, 1.719022, 3.104219, 331.7897, 331.7897, 331.7897,0.1131338 ,0.7039478, -0.2027385, 0.2866336, -0.06616694, -0.1648597, 67.75942, 67.75942, 67.75942
