HeadPos.x, HeadPos.y, HeadPos.z, HeadVel.x, HeadVel.y, HeadVel.z, HeadRot.x, HeadRot.y, HeadRot.z,LeftPos.x, LeftPos.y, LeftPos.z, LeftVel.x, LeftVel.y, LeftVel.z, LeftRot.x, LeftRot.y, LeftRot.z,RightPos.x, RightPos.y, RightPos.z, RightVel.x, RightVel.y, RightVel.z, RightRot.x, RightRot.y, RightRot.z
-0.02043881 ,1.519035, -0.2386598, -0.001250303, -0.002881811, -0.02296636, 10.44755, 10.44755, 10.44755,-0.1692615 ,0.6799179, -0.1878023, -0.001145113, 0.003223251, 0.005353947, 70.96329, 70.96329, 70.96329,0.1844442 ,0.6741259, -0.2291536, -0.03997919, 0.03572466, 0.08331406, 75.30424, 75.30424, 75.30424
-0.02169649 ,1.519743, -0.2430806, -0.009882286, 0.007962792, -0.04263747, 10.02205, 10.02205, 10.02205,-0.168707 ,0.6809863, -0.184763, 0.006818767, 0.006505969, 0.02423633, 70.60912, 70.60912, 70.60912,0.1627205 ,0.7088101, -0.1476414, -0.1459521, 0.266208, 0.6007672, 63.85443, 63.85443, 63.85443
-0.02297142 ,1.520977, -0.2485488, -0.009513757, 0.01767294, -0.0568989, 9.619046, 9.619046, 9.619046,-0.1665091 ,0.6826982, -0.1818532, 0.01775628, 0.005448041, 0.03033121, 70.30682, 70.30682, 70.30682,0.1484645 ,0.8380485, 0.0005992875, -0.1342061, 0.957062, 1.107496, 38.13637, 38.13637, 38.13637
-0.0230427 ,1.522314, -0.2559509, 0.004558994, 0.01681015, -0.07273432, 9.226578, 9.226578, 9.226578,-0.1618879 ,0.6853825, -0.1787787, 0.0374273, 0.01470834, 0.02709839, 69.85657, 69.85657, 69.85657,0.134093 ,1.11972, 0.09619945, -0.1595971, 1.973826, 0.8019238, 351.664, 351.664, 351.664
-0.02293855 ,1.523302, -0.2622513, 0.003347795, 0.01047631, -0.06243278, 8.815506, 8.815506, 8.815506,-0.1591859 ,0.6849038, -0.1756904, 0.02598477, 0.01115352, 0.02502171, 69.57446, 69.57446, 69.57446,0.1353597 ,1.370361, 0.02685923, -0.007590703, 2.076871, -0.1683535, 312.1213, 312.1213, 312.1213
-0.02510536 ,1.524362, -0.265646, -0.01998384, 0.01304243, -0.04037179, 8.272763, 8.272763, 8.272763,-0.1586104 ,0.6885597, -0.1709851, 0.0008939682, 0.02392271, 0.04998919, 68.72691, 68.72691, 68.72691,0.2338577 ,1.485733, -0.07517187, 0.6591961, 1.529965, -0.713604, 291.0067, 291.0067, 291.0067
-0.03403739 ,1.525804, -0.2683704, -0.08074518, 0.01697129, -0.02301864, 7.739423, 7.739423, 7.739423,-0.1633106 ,0.6900463, -0.1680675, -0.04165355, 0.005425801, 0.01420231, 67.26857, 67.26857, 67.26857,0.4197742 ,1.487083, -0.1739409, 1.323037, 0.4369829, -0.830569, 326.3967, 326.3967, 326.3967
-0.04093781 ,1.525805, -0.2714442, -0.06782921, 0.00884502, -0.02956841, 7.805575, 7.805575, 7.805575,-0.1695886 ,0.6846294, -0.1765179, -0.0554332, -0.03260821, -0.08553474, 67.91289, 67.91289, 67.91289,0.4544745 ,1.412464, -0.1892553, 0.548726, -0.2476477, -0.3464957, 354.7579, 354.7579, 354.7579
-0.04080708 ,1.526594, -0.2745595, -0.003602084, 0.01780956, -0.03297339, 7.285618, 7.285618, 7.285618,-0.1762426 ,0.6808754, -0.1864114, -0.06568424, -0.03733888, -0.07136052, 69.85084, 69.85084, 69.85084,0.2596654 ,1.451004, -0.06450935, -1.087363, 0.1368299, 0.6626154, 303.8861, 303.8861, 303.8861
-0.0386469 ,1.526796, -0.277193, 0.02036564, 0.006060446, -0.03075845, 7.156122, 7.156122, 7.156122,-0.1778638 ,0.6819559, -0.1849399, -0.01212419, 0.006517779, 0.0126215, 70.17004, 70.17004, 70.17004,0.02309743 ,1.350418, -0.03625135, -1.645135, -0.6532286, 0.2491651, 312.5188, 312.5188, 312.5188
