HeadPos.x, HeadPos.y, HeadPos.z, HeadVel.x, HeadVel.y, HeadVel.z, HeadRot.x, HeadRot.y, HeadRot.z,LeftPos.x, LeftPos.y, LeftPos.z, LeftVel.x, LeftVel.y, LeftVel.z, LeftRot.x, LeftRot.y, LeftRot.z,RightPos.x, RightPos.y, RightPos.z, RightVel.x, RightVel.y, RightVel.z, RightRot.x, RightRot.y, RightRot.z
-0.09448224 ,1.65194, -0.1378418, 0.003230338, -0.0003775498, -0.01022744, 0.9150882, 0.9150882, 0.9150882,-0.1428933 ,0.8150141, 0.04986078, -0.05831833, -0.04024861, 0.01119155, 75.75208, 75.75208, 75.75208,0.1293089 ,0.7540423, -0.2390832, 0.003590712, -0.01359188, 0.001760007, 55.70807, 55.70807, 55.70807
-0.09452119 ,1.652396, -0.139179, 0.002327967, 0.006304904, -0.01460401, 0.8335118, 0.8335118, 0.8335118,-0.1311309 ,0.8294523, 0.05862216, 0.1028318, 0.1356918, 0.05835263, 72.24368, 72.24368, 72.24368,0.1299112 ,0.753852, -0.2385945, 0.01071213, -0.005334536, 0.007318774, 55.50383, 55.50383, 55.50383
-0.09319297 ,1.653156, -0.1433924, 0.01234163, 0.0071987, -0.04489659, 0.4293115, 0.4293115, 0.4293115,-0.09966277 ,0.8851385, 0.08365586, 0.2236847, 0.4319597, 0.2017546, 59.23839, 59.23839, 59.23839,0.1301138 ,0.7557251, -0.2402108, 0.008618844, -0.008283746, -0.01474197, 55.36406, 55.36406, 55.36406
-0.09238368 ,1.653937, -0.1481117, 0.007911348, 0.0008035732, -0.05321842, 0.02793548, 0.02793548, 0.02793548,-0.05175659 ,1.000594, 0.1261408, 0.4055381, 0.9054987, 0.3837677, 39.7118, 39.7118, 39.7118,0.1296674 ,0.7550128, -0.2459911, -0.01316111, -0.02249002, -0.05339034, 55.43364, 55.43364, 55.43364
-0.09683874 ,1.652754, -0.1509771, -0.03907318, -0.01997268, -0.01413401, 1.460522, 1.460522, 1.460522,0.03430652 ,1.182573, 0.2599567, 0.6384636, 1.411103, 0.9112859, 13.52425, 13.52425, 13.52425,0.1266174 ,0.7557558, -0.2487629, -0.008401101, -0.007819566, -0.007210949, 56.15711, 56.15711, 56.15711
-0.1059367 ,1.6498, -0.1526847, -0.07665038, -0.02878883, 0.006070475, 3.416685, 3.416685, 3.416685,0.09084699 ,1.411343, 0.3162849, 0.5247914, 1.810023, 0.5737148, 350.6861, 350.6861, 350.6861,0.1331688 ,0.7615601, -0.2354124, 0.05033601, 0.05141835, 0.1178764, 54.19846, 54.19846, 54.19846
-0.113418 ,1.64969, -0.1535933, -0.0663368, -0.004494592, 0.004076509, 3.65232, 3.65232, 3.65232,0.1250717 ,1.54406, 0.3233644, 0.3877067, 1.376531, 0.2842037, 348.7537, 348.7537, 348.7537,0.1320307 ,0.7697737, -0.2245984, -0.01433826, 0.0299391, 0.07670326, 53.20412, 53.20412, 53.20412
-0.1162472 ,1.648723, -0.1552237, -0.02088333, -0.009922354, -0.01651529, 4.110588, 4.110588, 4.110588,0.1419919 ,1.56685, 0.3414455, 0.2164755, 0.5799163, 0.2206636, 354.3694, 354.3694, 354.3694,0.1283256 ,0.7792504, -0.2275025, -0.002905983, 0.02580403, -0.01128753, 53.4733, 53.4733, 53.4733
-0.1129053 ,1.648928, -0.1608145, 0.02947517, 0.004697531, -0.06153473, 3.982729, 3.982729, 3.982729,0.1437532 ,1.547614, 0.3327697, 0.09307624, 0.06768837, 0.01440918, 355.7547, 355.7547, 355.7547,0.1327835 ,0.7866199, -0.2326147, 0.02161058, 0.02481302, -0.04108074, 52.44208, 52.44208, 52.44208
-0.1103896 ,1.648878, -0.1639609, 0.02879449, -0.001678477, -0.04891509, 3.962487, 3.962487, 3.962487,0.1428024 ,1.546365, 0.3315059, 0.01637455, 0.009344989, -0.002183992, 355.8755, 355.8755, 355.8755,0.1258214 ,0.7870913, -0.2409394, -0.05214728, -0.004816763, -0.07421552, 53.52861, 53.52861, 53.52861
